Provinsi/Kabupaten/Kota,,,
,Indeks Pembangunan Gender (IPG),,
,2019,2020,2021
ACEH,91.84,92.07,92.23
Simeulue,77.94,77.97,78.27
Aceh Singkil,84.48,84.48,84.75
Aceh Selatan,91.49,91.56,91.73
Aceh Tenggara,93.02,93,93.1
Aceh Timur,85.72,85.73,85.93
Aceh Tengah,97.48,97.35,97.26
Aceh Barat,85.81,85.76,85.97
Aceh Besar,94.98,94.9,94.93
Pidie,93.49,93.58,93.61
Bireuen,94.92,94.91,94.93
Aceh Utara,92.38,92.55,92.75
Aceh Barat Daya,90.02,89.82,89.87
Gayo Lues,88.7,88.91,89.34
Aceh Tamiang,81.95,81.95,82
Nagan Raya,90.31,90.31,90.37
Aceh Jaya,89.28,89.47,89.49
Bener Meriah,96.69,96.6,96.63
Pidie Jaya,95.11,94.92,94.88
Kota Banda Aceh,95.17,95.26,95.54
Kota Sabang,95.47,95.81,95.6
Kota Langsa,95.79,95.61,95.41
Kota Lhokseumawe,95.06,94.9,95.06
Kota Subulussalam,85.05,85.06,85.25
SUMATERA UTARA,90.71,90.67,90.73
Nias,91.23,90.81,91.25
Mandailing Natal,93.62,93.24,93.47
Tapanuli Selatan,91.33,90.86,90.74
Tapanuli Tengah,94.78,94.85,94.93
Tapanuli Utara,98.04,97.98,97.93
Toba Samosir / Toba,98.14,97.96,98.06
Labuhan Batu,91.05,90.86,90.88
Asahan,91.22,91.51,91.66
Simalungun,93.03,93.02,93.05
Dairi,97.77,98.02,98.05
Karo,96.31,96.19,95.9
Deli Serdang,91.31,91.29,91.18
Langkat,89.52,89.24,89.02
Nias Selatan,87.59,87.58,88.28
Humbang Hasundutan,97.1,97.38,97.32
Pakpak Bharat,99.05,99.02,98.89
Samosir,96.54,96.51,96.59
Serdang Bedagai,88.79,88.74,89
Batu Bara,82.93,83.08,83.22
Padang Lawas Utara,87.63,87.92,88.06
Padang Lawas,85.64,85.75,85.94
Labuhan Batu Selatan,87.43,87.43,87.61
Labuhan Batu Utara,90.03,89.8,89.96
Nias Utara,79.02,79.37,79.63
Nias Barat,86.26,86.67,86.79
Kota Sibolga,97.53,97.63,97.89
Kota Tanjung Balai,89.51,89.69,90.02
Kota Pematang Siantar,95.46,95.65,95.82
Kota Tebing Tinggi,93.55,93.53,93.32
Kota Medan,94.02,94,93.76
Kota Binjai,90.6,90.57,90.63
Kota Padangsidimpuan,97.59,97.67,97.87
Kota Gunungsitoli,89.25,89.31,89.4
SUMATERA BARAT,94.09,94.17,94.34
Kepulauan Mentawai,89.33,89.59,89.81
Pesisir Selatan,95.16,95.12,95.41
Solok,96.17,96.18,96.19
Sijunjung,93.01,93.03,93.4
Tanah Datar,97.55,97.57,97.58
Padang Pariaman,92.92,92.69,92.78
Agam,96.84,97.01,96.95
Lima Puluh Kota,94.77,95.03,94.91
Pasaman,92.59,92.45,92.47
Solok Selatan,95.03,95.08,95.14
Dharmasraya,88.3,88.31,88.32
Pasaman Barat,90.06,90.26,90.14
Kota Padang,93.48,93.64,93.81
Kota Solok,97.13,97.05,97.05
Kota Sawah Lunto,95.51,95.48,95.73
Kota Padang Panjang,97.5,97.7,97.78
Kota Bukittinggi,98.77,98.89,98.99
Kota Payakumbuh,98.51,98.46,98.6
Kota Pariaman,98.19,98.49,98.62
RIAU,88.43,88.14,88.38
Kuantan Singingi,90.57,90.16,90.06
Indragiri Hulu,87.33,86.94,86.69
Indragiri Hilir,82.57,82.34,82.37
Pelalawan,88.51,88.06,88.73
Siak,88.58,88.62,88.69
Kampar,89.83,89.52,89.79
Rokan Hulu,82.13,81.88,82.12
Bengkalis,90.08,90.07,90.1
Rokan Hilir,85.22,84.91,84.65
Kepulauan Meranti,86.2,86.3,86.45
Kota Pekanbaru,93.12,93.01,93.27
Kota Dumai,90.86,90.66,90.72
JAMBI,88.44,88.41,88.62
Kerinci,86.68,86.65,86.81
Merangin,88.01,88.14,88.24
Sarolangun,90.67,90.55,90.81
Batang Hari,85.17,85.01,85.23
Muaro Jambi,80.29,80.08,81.06
Tanjung Jabung Timur,87.76,87.5,87.43
Tanjung Jabung Barat,85.68,85.66,85.79
Tebo,90.23,90.06,90.4
Bungo,88.63,88.54,88.49
Kota Jambi,94.14,94.03,94.42
Kota Sungai Penuh,94.44,94.31,94.41
SUMATERA SELATAN,92.4,92.38,92.35
Ogan Komering Ulu,93.92,94,93.94
Ogan Komering Ilir,91.22,91.3,91.69
Muara Enim,89.69,89.64,89.67
Lahat,94.82,94.6,94.74
Musi Rawas,85.59,85.45,85.85
Musi Banyuasin,82.85,82.9,82.63
Banyu Asin,89.16,88.93,88.96
Ogan Komering Ulu Selatan,92.78,92.62,92.39
Ogan Komering Ulu Timur,94.07,94,93.82
Ogan Ilir,98.95,99.13,99.09
Empat Lawang,93.16,93.38,93.32
Penukal Abab Lematang Ilir,93.2,93.17,93.13
Musi Rawas Utara,93.1,92.82,92.6
Kota Palembang,95.9,95.97,96.07
Kota Prabumulih,93.26,93.7,93.68
Kota Pagar Alam,94.33,94.46,94.64
Kota Lubuklinggau,95.94,95.83,95.84
BENGKULU,91.19,91,91.16
Bengkulu Selatan,94.05,94.14,94.31
Rejang Lebong,94.15,93.78,93.72
Bengkulu Utara,91.25,91.23,91.39
Kaur,87.13,87.12,87.17
Seluma,85.32,85.65,85.93
Mukomuko,83.95,83.88,84.03
Lebong,91.49,91.6,91.86
Kepahiang,95.32,95.8,95.73
Bengkulu Tengah,86.55,86.83,87.04
Kota Bengkulu,95.97,95.67,95.77
LAMPUNG,90.39,90.33,90.37
Lampung Barat,92.55,92.95,93
Tanggamus,90.88,91.13,90.98
Lampung Selatan,89.54,89.6,89.61
Lampung Timur,88.78,88.83,88.78
Lampung Tengah,89.88,89.87,89.94
Lampung Utara,89.48,89.46,89.58
Way Kanan,88.22,88.19,88.32
Tulangbawang,89.17,89.31,89.56
Pesawaran,87.3,87.2,87.22
Pringsewu,92.37,92.33,92.29
Mesuji,84.22,84.17,84.37
Tulang Bawang Barat,88.45,88.56,88.96
Pesisir Barat,93.22,93.21,93.51
Kota Bandar Lampung,93.96,93.86,93.93
Kota Metro,95.02,95.55,95.89
KEP. BANGKA BELITUNG,89,88.92,89.11
Bangka,88.49,88.48,88.36
Belitung,88.61,88.28,88.29
Bangka Barat,90.07,90.03,90.04
Bangka Tengah,91.05,91.49,91.34
Bangka Selatan,83.86,83.81,84.31
Belitung Timur,86.17,86.37,86.56
Kota Pangkal Pinang,92.89,93.16,93.25
KEPULAUAN RIAU,93.1,93.31,93.49
Karimun,90.91,91.25,91
Bintan,93.1,93.12,93.53
Natuna,91.72,91.67,91.95
Lingga,89.26,89.25,89.73
Kepulauan Anambas,90.16,90.27,90.3
Kota Batam,94.42,94.43,94.51
Kota Tanjung Pinang,96.77,96.79,97.14
DKI JAKARTA,94.71,94.63,94.84
Kep. Seribu,93.58,93.39,93.39
Kota Jakarta Selatan,96.29,96.14,96.28
Kota Jakarta Timur,95.5,95.48,95.44
Kota Jakarta Pusat,95.68,96,96.11
Kota Jakarta Barat,95.23,95.16,95.37
Kota Jakarta Utara,93.64,93.53,93.6
JAWA BARAT,89.26,89.2,89.36
Bogor,89.39,89.23,89.4
Sukabumi,87.43,87.37,87.44
Cianjur,84.36,84.14,84.3
Bandung,93.96,93.95,93.85
Garut,82.54,82.29,82.13
Tasikmalaya,86.05,86.02,86.36
Ciamis,86.49,86.61,86.55
Kuningan,86.92,86.81,86.97
Cirebon,83.5,83.47,83.49
Majalengka,85.76,85.91,86.24
Sumedang,95.01,95.18,95.18
Indramayu,88.35,88.15,87.92
Subang,90.58,90.53,90.51
Purwakarta,86.78,86.56,86.7
Karawang,90.33,90.12,90.29
Bekasi,88.68,88.58,88.88
Bandung Barat,79.29,79.06,79.07
Pangandaran,90.02,89.78,89.92
Kota Bogor,91.11,91.02,90.87
Kota Sukabumi,91.44,91.36,91.58
Kota Bandung,94.82,94.68,94.72
Kota Cirebon,94.35,94.39,94.46
Kota Bekasi,93.02,92.95,93.09
Kota Depok,92.78,93.01,92.96
Kota Cimahi,92.2,92.01,91.95
Kota Tasikmalaya,91.48,91.64,91.74
Kota Banjar,87.12,87.17,87.01
JAWA TENGAH,91.89,92.18,92.48
Cilacap,86.67,86.69,87
Banyumas,88.2,88.27,88.54
Purbalingga,92.68,92.78,93.08
Banjarnegara,95.38,95.28,95.32
Kebumen,93.34,93.05,93.06
Purworejo,94.92,94.96,95.33
Wonosobo,92.72,92.75,92.78
Magelang,91.78,91.81,91.89
Boyolali,93.5,94.19,94.22
Klaten,96.04,96.17,96
Sukoharjo,96.58,96.49,96.52
Wonogiri,91.41,91.08,91.07
Karanganyar,96.48,96.52,96.63
Sragen,91.4,91.62,91.68
Grobogan,85.98,86.14,85.89
Blora,83.96,83.88,84.59
Rembang,86.85,87,87.32
Pati,91.6,91.5,92.21
Kudus,92.9,92.75,92.96
Jepara,90.91,90.99,91.28
Demak,90.57,90.9,91.16
Semarang,96.4,96.38,96.61
Temanggung,95.1,95.31,95.74
Kendal,92.85,93.19,93.3
Batang,91.08,91.47,91.86
Pekalongan,92.58,92.48,92.56
Pemalang,85.81,85.83,86.49
Tegal,86.74,86.79,87.53
Brebes,86.35,86.36,86.65
Kota Magelang,95.51,95.27,95.54
Kota Surakarta,96.72,96.84,96.89
Kota Salatiga,95,95.18,95.37
Kota Semarang,95.55,95.49,95.67
Kota Pekalongan,94.92,95.17,95.42
Kota Tegal,93.37,93.18,93.26
D I YOGYAKARTA,94.77,94.8,94.88
Kulon Progo,95.05,95.07,95.09
Bantul,95.18,95.12,95.19
Gunung Kidul,84.62,84.73,85.31
Sleman,96.04,96.2,96.25
Kota Yogyakarta,98.09,98.16,98.32
JAWA TIMUR,90.91,91.07,91.67
Pacitan,85.13,84.87,85.09
Ponorogo,93.34,93.56,93.65
Trenggalek,92.74,92.93,92.56
Tulungagung,95.63,95.48,95.52
Blitar,92.73,92.7,92.76
Kediri,92.7,93.07,92.9
Malang,88.66,88.68,88.34
Lumajang,88.04,88.09,88.39
Jember,84.3,84.66,84.82
Banyuwangi,86.81,86.66,86.96
Bondowoso,90.42,90.68,90.75
Situbondo,87.11,87.06,87.16
Probolinggo,84.95,85.38,85.39
Pasuruan,90.68,90.48,90.89
Sidoarjo,93.79,94.13,94.26
Mojokerto,90.65,91.1,91.24
Jombang,90.37,90.15,90.23
Nganjuk,93.27,93.26,93.76
Madiun,91.81,91.79,91.77
Magetan,93.16,93.36,93.65
Ngawi,92.52,92.19,92.32
Bojonegoro,89.98,90.17,90.21
Tuban,87.63,87.78,88.06
Lamongan,88.4,88.59,88.99
Gresik,90.05,89.93,90.2
Bangkalan,86.93,86.88,86.95
Sampang,84.79,85.5,86.32
Pamekasan,86.05,86.17,86.5
Sumenep,80.72,80.81,81.18
Kota Kediri,94.53,94.39,94.21
Kota Blitar,97.8,97.46,97.36
Kota Malang,94.72,94.97,95.24
Kota Probolinggo,95.91,95.87,96.01
Kota Pasuruan,96.18,96.16,96.27
Kota Mojokerto,93.18,93.26,93.47
Kota Madiun,94.05,94.38,94.42
Kota Surabaya,93.6,93.58,93.9
Kota Batu,89.71,89.72,89.89
BANTEN,91.67,91.74,91.83
Pandeglang,86.68,86.71,86.83
Lebak,79.63,79.81,79.87
Tangerang,90.97,90.98,91.08
Serang,92.4,92.14,91.98
Kota Tangerang,94.89,95.06,94.72
Kota Cilegon,87.16,87.22,87.25
Kota Serang,91.96,92.28,92.47
Kota Tangerang Selatan,93.56,93.58,93.8
BALI,93.72,93.79,94.01
Jembrana,93.52,93.38,93.86
Tabanan,95.35,95.36,95.42
Badung,95.5,95.51,95.53
Gianyar,94.26,94.63,94.7
Klungkung,91.1,91.12,91.18
Bangli,91.25,91.54,91.58
Karangasem,88.87,88.93,88.96
Buleleng,91.94,91.59,91.65
Kota Denpasar,96.92,96.77,96.88
NUSA TENGGARA BARAT,90.4,90.45,90.53
Lombok Barat,89.05,88.85,89.22
Lombok Tengah,87.26,87.17,87.19
Lombok Timur,91.16,91.27,91.33
Sumbawa,93.65,93.67,93.48
Dompu,91.12,91.02,90.66
Bima,91.49,91.5,91.87
Sumbawa Barat,92.57,92.77,92.8
Lombok Utara,85.42,85.44,85.54
Kota Mataram,92.77,92.79,92.79
Kota Bima,96.39,96.41,96.41
NUSA TENGGARA TIMUR,92.72,92.73,92.63
Sumba Barat,94.47,94.61,94.16
Sumba Timur,96.43,96.16,95.93
Kupang,88.22,88.23,88.06
Timor Tengah Selatan,94.87,94.91,94.95
Timor Tengah Utara,95.52,95.55,95.19
Belu,96.88,97.1,97.07
Alor,92.37,92.14,92.13
Lembata,91.27,91.29,91.24
Flores Timur,91.29,91.32,91.49
Sikka,89.64,89.15,88.93
Ende,95.44,95.64,95.81
Ngada,95.91,96.09,95.76
Manggarai,88.16,88,87.65
Rote Ndao,84.64,84.62,84.08
Manggarai Barat,87.17,86.67,87.11
Sumba Tengah,91.28,90.9,90.49
Sumba Barat Daya,97.48,97.62,97.68
Nagekeo,99.04,98.97,98.56
Manggarai Timur,90.89,90.5,90.52
Sabu Raijua,92.76,92.79,92.31
Malaka,89.42,89.49,89.42
Kota Kupang,95.48,95.73,95.99
KALIMANTAN BARAT,86.81,86.87,86.95
Sambas,86.97,87.07,87
Bengkayang,82.82,82.78,82.79
Landak,87.92,88.14,88.44
Mempawah,87.78,87.92,87.8
Sanggau,80.92,81.04,81.19
Ketapang,88.52,88.42,88.6
Sintang,86.5,86.73,86.73
Kapuas Hulu,84.74,84.91,84.95
Sekadau,82.4,82.65,82.72
Melawi,80.08,80.1,80.15
Kayong Utara,85.73,85.75,86.04
Kubu Raya,84.6,84.3,84.3
Kota Pontianak,93.81,93.73,94.01
Kota Singkawang,92.21,92,92
KALIMANTAN TENGAH,89.09,89.03,88.79
Kotawaringin Barat,91.69,91.67,91.69
Kotawaringin Timur,87.91,88.12,88.14
Kapuas,95.51,95.35,95.32
Barito Selatan,92.04,91.92,91.78
Barito Utara,87.15,87.26,87.49
Sukamara,90.84,91.01,91.49
Lamandau,91.9,91.94,91.91
Seruyan,89.44,89.36,89.16
Katingan,85.57,85.41,85.38
Pulang Pisau,92.12,92.06,92.04
Gunung Mas,92.1,92.09,91.99
Barito Timur,88.76,88.74,88.82
Murung Raya,83.41,83.56,83.55
Kota Palangka Raya,94.96,95.02,95.01
KALIMANTAN SELATAN,88.61,88.86,88.86
Tanah Laut,86.96,87.19,86.86
Kotabaru,84.1,84.15,84.77
Banjar,90.65,90.5,91
Barito Kuala,89.03,89.04,89.18
Tapin,84.44,84.08,84.15
Hulu Sungai Selatan,89.21,89.23,89.65
Hulu Sungai Tengah,96.6,96.5,96.46
Hulu Sungai Utara,91.59,91.52,91.74
Tabalong,85.43,85.34,85.48
Tanah Bumbu,84.34,84.6,85.09
Balangan,92.12,92.22,92.33
Kota Banjarmasin,93.3,93.37,93.69
Kota Banjar Baru,92.43,92.55,92.56
KALIMANTAN TIMUR,85.98,85.7,85.95
Paser,71.41,71.15,71.19
Kutai Barat,83.84,83.87,84.28
Kutai Kartanegara,79.14,78.9,79.12
Kutai Timur,76.51,76.26,76.4
Berau,87.93,87.61,87.76
Penajam Paser Utara,86.22,86.39,86.57
Mahakam Ulu,80.89,80.98,81.65
Kota Balikpapan,89.71,89.65,89.83
Kota Samarinda,89.41,89.27,89.27
Kota Bontang,86.72,86.87,87.12
KALIMANTAN UTARA,87,86.67,87.3
Malinau,81.71,81.36,81.95
Bulungan,85.39,85.1,85.12
Tana Tidung,78.02,77.57,78.2
Nunukan,82.74,82.29,83.09
Kota Tarakan,92.16,91.9,92
SULAWESI UTARA,94.53,94.42,94.61
Bolaang Mongondow,88.36,88.29,88.41
Minahasa,96.76,96.53,96.02
Kepulauan Sangihe,95.35,95.23,95.94
Kepulauan Talaud,97.67,97.9,98.09
Minahasa Selatan,88.81,88.74,88.78
Minahasa Utara,96.42,96.4,96.24
Bolaang Mongondow Utara,86.92,86.77,87.02
Siau Tagulandang Biaro,88.43,88.4,88.87
Minahasa Tenggara,91.87,91.88,92.08
Bolaang Mongondow Selatan,79.87,79.7,80.09
Bolaang Mongondow Timur,90.75,90.84,90.98
Kota Manado,96.28,96.23,96.41
Kota Bitung,94.23,94.19,94.56
Kota Tomohon,98.98,98.94,98.95
Kota Kotamobagu,95.42,95.37,95.38
SULAWESI TENGAH,92.01,91.87,91.91
Banggai Kepulauan,92.18,92.36,92.18
Banggai,90.95,90.83,90.85
Morowali,84.71,84.89,85.03
Poso,96.58,96.54,96.71
Donggala,88.27,88.34,88.43
Toli-Toli,89.82,89.73,90.29
Buol,89.34,89.25,89.1
Parigi Moutong,92.35,92.29,92.51
Tojo Una-Una,91.28,91.22,91.15
Sigi,93.32,93.26,93.48
Banggai Laut,91.04,91.31,91.77
Morowali Utara,95.9,95.98,95.98
Kota Palu,98,97.96,98.16
SULAWESI SELATAN,93.09,92.86,92.85
Kepulauan Selayar,91.92,91.63,91.5
Bulukumba,96.59,96.29,95.8
Bantaeng,95.31,95.78,95.76
Jeneponto,91.64,91.46,91.6
Takalar,87.29,87.56,87.45
Gowa,87.19,87.17,87.37
Sinjai,98.2,98.02,97.81
Maros,89.1,89.23,89.2
Pangkajene dan Kepulauan,90.16,89.85,89.97
Barru,95.42,95.52,95.51
Bone,93.25,92.89,92.71
Soppeng,97.08,97.26,97.25
Wajo,90.13,90.25,90.44
Sidenreng Rappang,92.08,92.06,92.2
Pinrang,95.35,95.16,95.11
Enrekang,97.31,97.41,97.4
Luwu,92,92.16,92.58
Tana Toraja,88.18,87.97,88.46
Luwu Utara,89.21,89.2,89.44
Luwu Timur,89.61,89.71,89.8
Toraja Utara,86.78,86.83,86.8
Kota Makasar,94.48,94.47,94.44
Kota Parepare,96.78,96.88,96.73
Kota Palopo,97.35,97.32,97.31
SULAWESI TENGGARA,90.56,90.5,90.68
Buton,79.82,80.18,80.69
Muna,87.51,87.59,87.76
Konawe,92.61,92.65,93.18
Kolaka,89.87,89.78,90.01
Konawe Selatan,87.45,87.73,88.03
Bombana,84.77,84.67,84.91
Wakatobi,88.6,88.39,88.99
Kolaka Utara,97.32,97.24,97.79
Buton Utara,91.85,92.02,91.99
Konawe Utara,85.69,86.17,86.66
Kolaka Timur,98.63,98.37,99.07
Konawe Kepulauan,84.43,85,85.05
Muna Barat,88.82,88.65,88.91
Buton Tengah,80.15,80.57,81.48
Buton Selatan,72.28,72.25,72.56
Kota Kendari,94.75,94.61,94.84
Kota Baubau,90.65,90.27,90.45
GORONTALO,86.83,86.73,87.5
Boalemo,81.14,81.15,81.52
Gorontalo,81.33,81.67,82.72
Pohuwato,91.46,91.36,91.4
Bone Bolango,87.71,87.54,88.23
Gorontalo Utara,81.25,81.16,81.17
Kota Gorontalo,86.25,86.23,86.76
SULAWESI BARAT,89.76,89.43,89.57
Majene,94.42,94.09,94.17
Polewali Mandar,91.57,91.56,91.63
Mamasa,97.75,97.79,98.23
Mamuju,90.64,90.57,90.62
Mamuju Utara / Pasangkayu,84.42,84.92,85.25
Mamuju Tengah,86.7,86.34,86.1
MALUKU,93.04,92.97,93.19
Maluku Tenggara Barat / Kepulauan Tanimbar,86.46,86.44,86.6
Maluku Tenggara,96.76,96.63,96.65
Maluku Tengah,98.41,98.38,98.41
Buru,90.27,90.22,90.69
Kepulauan Aru,88.25,88.19,88.6
Seram Bagian Barat,98.63,98.44,98.53
Seram Bagian Timur,87.69,87.67,88.39
Maluku Barat Daya,89.81,90.08,90.29
Buru Selatan,86.18,86.39,86.49
Kota Ambon,97.84,97.78,97.83
Kota Tual,87.83,88.11,88.31
MALUKU UTARA,89.61,89.55,89.75
Halmahera Barat,88.2,88.3,88.48
Halmahera Tengah,89.61,89.53,89.78
Kepulauan Sula,92.14,91.97,92.36
Halmahera Selatan,86.6,86.49,87.3
Halmahera Utara,89.35,89.44,89.35
Halmahera Timur,81.41,81.43,81.56
Pulau Morotai,69.86,69.75,69.75
Pulau Taliabu,83.58,83.29,83.29
Kota Ternate,92.1,91.83,91.87
Kota Tidore Kepulauan,95.13,95.47,95.84
PAPUA BARAT,82.74,82.91,83
Fakfak,83.45,82.95,82.89
Kaimana,82.55,83.02,83.12
Teluk Wondama,79.15,79.28,79.18
Teluk Bintuni,85.91,86.17,86.14
Manokwari,83.47,83.69,83.85
Sorong Selatan,81.77,81.99,82.3
Sorong,85.76,85.95,85.97
Raja Ampat,77.55,77.64,77.67
Tambrauw,67.97,68.14,68.28
Maybrat,76.97,77.31,77.56
Manokwari Selatan,64.16,63.88,64.37
Pegunungan Arfak,76.79,76.94,76.97
Kota Sorong,91.97,91.62,91.63
PAPUA,80.05,79.59,80.16
Merauke,87.7,87.84,88.04
Jayawijaya,83.22,83.5,84.09
Jayapura,91.1,90.92,91.19
Nabire,90.07,90.37,90.51
Kepulauan Yapen,89.11,89,89.15
Biak Numfor,90.01,90.15,90.25
Paniai,68.21,67.88,68.25
Puncak Jaya,65.25,65.2,65.69
Mimika,76.93,77.03,76.88
Boven Digoel,79.25,79.18,79.06
Mappi,83.63,83.48,83.78
Asmat,53.71,53.59,53.72
Yahukimo,72.07,72.28,73.02
Pegunungan Bintang,79.62,80.01,80.49
Tolikara,59.83,59.58,60.18
Sarmi,82.15,82.35,82.56
Keerom,86.21,86.23,86.32
Waropen,70.52,70.13,70.35
Supiori,76.4,76.38,76.78
Mamberamo Raya,81.85,81.56,82.11
Nduga,82.73,84.09,86.01
Lanny Jaya,92.14,92.4,92.89
Mamberamo Tengah,86,86.79,87.8
Yalimo,82.87,82.6,83.65
Puncak,82.57,82.17,83.27
Dogiyai,81.45,80.82,80.48
Intan Jaya,70.64,70.4,71.62
Deiyai,70.88,70.17,70.15
Kota Jayapura,94.22,94.35,94.65
INDONESIA,91.07,91.06,91.27