Provinsi / Kabupaten / Kota,Unnamed: 1_x,Unnamed: 2_x,Unnamed: 1_y,Unnamed: 2_y,Unnamed: 3_x,Unnamed: 1,Unnamed: 2,Unnamed: 3_y
,Indeks Pemberdayaan Gender (IDG),,Indeks Pemberdayaan Gender (IDG),,,Indeks Pemberdayaan Gender (IDG),,
,Indeks Pemberdayaan Gender (IDG),,Indeks Pemberdayaan Gender (IDG),,,2016,2017,2018
,Indeks Pemberdayaan Gender (IDG),,2019,2020.0,2021.0,Indeks Pemberdayaan Gender (IDG),,
,Indeks Pemberdayaan Gender (IDG),,2019,2020.0,2021.0,2016,2017,2018
,2022,2023.0,Indeks Pemberdayaan Gender (IDG),,,Indeks Pemberdayaan Gender (IDG),,
,2022,2023.0,Indeks Pemberdayaan Gender (IDG),,,2016,2017,2018
,2022,2023.0,2019,2020.0,2021.0,Indeks Pemberdayaan Gender (IDG),,
,2022,2023.0,2019,2020.0,2021.0,2016,2017,2018
ACEH,63.92,63.56,63.31,63.47,63.24,67.4,66.28,66.6
SIMEULUE,63.72,64.79,64.51,64.65,64.95,-,58.44,54.09
ACEH SINGKIL,59.51,59.84,59.72,59.83,59.65,-,52.33,59.49
ACEH SELATAN,57.35,57.65,55.96,56.41,55.87,-,48.07,48.35
ACEH TENGGARA,58.94,59.4,58.1,58.83,58.1,-,60.98,64.75
ACEH TIMUR,57.53,57.52,53.21,52.27,47.84,-,54.14,59.03
ACEH TENGAH,72.52,71.78,68.18,71.39,71.82,-,56.48,64.57
ACEH BARAT,57.09,56.86,56.89,57.22,56.69,-,55.9,56.25
ACEH BESAR,47.65,47.2,47.73,47.37,48.11,-,47.27,47.46
PIDIE,64.75,66.3,64.7,65.69,66.02,-,59.61,60.9
BIREUEN,58.16,59.19,57.9,57.98,58.17,-,53.02,53.07
ACEH UTARA,52,49.18,50.65,52.0,51.27,-,51.51,54.04
ACEH BARAT DAYA,53.09,50.62,51.9,52.6,52.3,-,51.62,51.29
GAYO LUES,57.61,57.31,56.51,56.49,56.76,-,61.62,66.56
ACEH TAMIANG,75.64,76.54,74.39,73.5,75.01,-,72.05,73.45
NAGAN RAYA,63.09,63.54,61.8,61.56,61.74,-,59.45,60.44
ACEH JAYA,58.5,58.35,58.29,58.27,58.42,-,57.57,51.79
BENER MERIAH,51.72,52.68,52.36,52.58,52.53,-,50.06,61.02
PIDIE JAYA,56.33,52.15,55.49,55.32,55.04,-,52,54.71
KOTA BANDA ACEH,62.89,62.42,63.3,63.59,62.42,-,51.48,55.82
KOTA SABANG,75.06,75.43,76.01,75.43,75.66,-,78.53,78.51
KOTA LANGSA,64.75,65.54,65.12,65.34,65.47,-,52.72,51.57
KOTA LHOKSEUMAWE,65.72,65.7,58.25,57.93,58.26,-,50.79,51.06
KOTA SUBULUSSALAM,69.74,67.84,69.01,69.04,68.91,-,68.38,68.48
SUMATERA UTARA,69.33,69.18,67.76,67.52,67.79,69.07,69.29,71.29
NIAS,64.53,61.45,63.15,62.03,60.33,-,51.89,52.87
MANDAILING NATAL,73.56,73.73,72.7,70.01,71.9,-,64.99,62.32
TAPANULI SELATAN,70.95,71.61,71.03,69.61,69.25,-,72.33,72.66
TAPANULI TENGAH,74.56,76.81,60.4,74.05,74.39,-,62.07,61.6
TAPANULI UTARA,63.2,63.82,62.81,65.84,66.36,-,65.87,66.11
TOBA SAMOSIR,60.66,61.53,59.6,60.07,59.51,-,63.86,63.88
LABUHAN BATU,72.24,70.39,71.47,71.52,71.96,-,75.49,77.74
ASAHAN,68.37,71.05,69.1,67.48,68.54,-,60.44,60.71
SIMALUNGUN,62.53,62.35,62.33,61.49,62.4,-,66.13,65.65
DAIRI,62.57,62.34,62.12,61.14,61.11,-,62.16,68.7
KARO,82.28,82.74,75.32,77.75,81.53,-,76.42,76.71
DELI SERDANG,54.72,59.68,54.81,54.42,55.14,-,60.54,60.89
LANGKAT,67.5,67.16,66.21,66.55,66.04,-,58.41,55.79
NIAS SELATAN,69.03,69.45,64.63,66.7,67.04,-,59.66,68.81
HUMBANG HASUNDUTAN,73.12,70.85,72.08,72.27,72.76,-,58.44,59.08
PAKPAK BHARAT,67.11,67.9,64.93,66.49,66.97,-,54.36,55.03
SAMOSIR,81.05,80.13,79.78,78.2,78.75,-,77.11,76.72
SERDANG BEDAGAI,65.98,67.48,65.7,65.73,65.49,-,66.17,69.84
BATU BARA,66.84,66.23,61.49,63.18,63.16,-,68.52,68.74
PADANG LAWAS UTARA,68.98,67.41,67.58,67.99,68.14,-,63.57,63.01
PADANG LAWAS,56.37,58.95,55.81,55.43,57.61,-,58.08,57.64
LABUHAN BATU SELATAN,66.45,61.03,60.81,63.24,64.56,-,60.47,60.93
LABUHAN BATU UTARA,48.77,45.52,47.29,47.27,46.14,-,47.18,44.83
NIAS UTARA,62.19,69.4,67.57,66.93,67.03,-,62.47,67.65
NIAS BARAT,66.61,66.95,65.8,64.55,65.88,-,67.88,66.02
KOTA SIBOLGA,72.84,75.14,74.57,73.03,71.84,-,71.1,70.98
KOTA TANJUNG BALAI,64.8,66.84,59.78,63.28,63.46,-,59.62,59.35
KOTA PEMATANG SIANTAR,62.65,62.96,61.56,61.58,62.43,-,73.51,73.8
KOTA TEBING TINGGI,54.15,54.63,53.6,53.58,53.78,-,57.65,61.83
KOTA MEDAN,64.31,62.35,63.93,63.89,63.91,-,61.23,63.36
KOTA BINJAI,70.65,70.54,70.26,69.85,68.32,-,69.77,69.86
KOTA PADANGSIDIMPUAN,66.43,66.85,65.89,65.72,65.99,-,61.1,62.55
KOTA GUNUNGSITOLI,63.59,64.2,66.97,66.94,63.28,-,66.39,67.05
SUMATERA BARAT,65.48,65.34,59.09,58.28,65.12,64.51,65.01,65.7
KEPULAUAN MENTAWAI,47.81,48.5,48.36,48.13,47.36,-,46.9,47.36
PESISIR SELATAN,56.5,53.79,55.79,56.93,53.39,-,53.46,57.7
SOLOK,57.85,59.38,63.89,62.23,61.57,-,62.16,62.89
SIJUNJUNG,59.43,61.72,59.96,59.93,60.46,-,56.84,55.47
TANAH DATAR,58.83,59.46,58.35,58.46,59.7,-,58.41,62.47
PADANG PARIAMAN,47.01,47.79,49.1,48.79,46.64,-,54.48,54.82
AGAM,64.45,64.43,63.32,63.06,63.07,-,54.16,55.07
LIMA PULUH KOTA,48.4,49.4,50.18,51.09,50.59,-,46.81,46.89
PASAMAN,62.96,61.01,64.22,61.57,62.74,-,63.78,63.74
SOLOK SELATAN,48.04,48.7,50.23,49.19,47.86,-,51.17,51.4
DHARMAS RAYA,51.33,51.83,51.42,50.87,50.66,-,48.91,50
PASAMAN BARAT,61.05,61.04,60.88,60.16,60.38,-,54.42,53.82
KOTA PADANG,67.99,68.27,67.49,67.53,65.33,-,69.01,69.3
KOTA SOLOK,63.61,64.23,58.47,57.46,63.09,-,56.2,55.76
KOTA SAWAH LUNTO,65.62,62.55,66.18,65.87,65.48,-,65.86,65.33
KOTA PADANG PANJANG,67.82,67.58,66.57,65.24,66.62,-,76.1,74.45
KOTA BUKITTINGGI,63.37,60.96,60.99,60.33,60.19,-,62.11,62.19
KOTA PAYAKUMBUH,71.21,71.09,67.81,71.01,71.58,-,61.99,62.3
KOTA PARIAMAN,52.62,53.91,54.47,54.41,53.42,-,51.34,52.11
RIAU,71.16,72.29,69.17,68.7,70.59,75.19,75.36,75.73
KUANTAN SINGINGI,57.75,61.81,57.64,57.12,56.32,-,59.55,61.63
INDRAGIRI HULU,51.32,56.27,52.65,51.71,51.46,-,62.79,59
INDRAGIRI HILIR,65.33,65.47,64.83,64.45,64.5,-,59.43,59.59
PELALAWAN,51.39,54.51,47.45,49.99,49.48,-,53.48,54.59
SIAK,43.03,42.46,42.77,42.38,42.19,-,42.02,45.58
KAMPAR,55.56,55.48,54.41,54.95,53.62,-,60.8,61.18
ROKAN HULU,52.4,52.15,52.81,52.08,51.71,-,60.75,62.48
BENGKALIS,54.23,54.01,54.27,54.1,53.5,-,52.64,53.53
ROKAN HILIR,59.51,59.18,62.23,62.59,61.94,-,49.86,49.99
KEPULAUAN MERANTI,61.72,63.19,62.57,62.06,61.88,-,62.82,64.86
KOTA PEKANBARU,68,68.04,67.79,69.23,68.63,-,65.83,61.05
KOTA DUMAI,52.58,52.93,56.78,52.97,52.54,-,59.49,59.9
JAMBI,67.86,68.07,65.97,65.86,65.93,63.14,65.32,67.78
KERINCI,60.26,65.16,59.96,59.51,60.0,-,67.2,67.44
MERANGIN,58.51,56.71,54.25,54.6,58.51,-,54.21,53.34
SAROLANGUN,58.68,61.08,60.07,60.2,60.25,-,58.35,57.3
BATANG HARI,71.85,73.87,75.56,75.32,73.12,-,70.6,70.76
MUARO JAMBI,63.7,62.97,63.18,62.7,63.05,-,68.67,68.81
TANJUNG JABUNG TIMUR,68.98,69.16,68.81,68.93,69.28,-,64.87,59.92
TANJUNG JABUNG BARAT,73.46,73.39,68.31,68.89,73.2,-,61.93,63.1
TEBO,49.67,51.23,51.98,51.71,51.66,-,62.02,63.55
BUNGO,58.68,56.05,59.18,59.23,59.19,-,61.15,61.27
KOTA JAMBI,68.6,68.71,68.48,68.11,67.88,-,69.14,69.83
KOTA SUNGAI PENUH,53.4,52.51,52.87,52.77,52.78,-,51.32,52.41
SUMATERA SELATAN,74.89,76.58,74.45,74.64,73.88,70.69,73.53,74.37
OGAN KOMERING ULU,49.56,52.45,50.01,50.05,49.69,-,56.84,57.32
OGAN KOMERING ILIR,61.26,61.87,61.22,59.89,59.99,-,56.08,57.47
MUARA ENIM,69.99,69.66,71.07,69.65,71.65,-,60.18,61.55
LAHAT,69.4,69.3,67.07,67.4,66.89,-,60.87,62.77
MUSI RAWAS,65.48,65.44,56.94,58.46,62.9,-,55.54,49.76
MUSI BANYUASIN,60.35,61.78,60.06,59.84,59.97,-,72.18,73.01
BANYU ASIN,60.6,57.73,60.7,60.49,60.38,-,59.89,60
OGAN KOMERING ULU SELATAN,57.81,57.8,55.33,54.56,55.83,-,54.54,54.04
OGAN KOMERING ULU TIMUR,59.65,56.77,59.51,58.96,57.86,-,57.34,56.99
OGAN ILIR,61.27,61.8,60.19,60.21,58.41,-,51.24,49.62
EMPAT LAWANG,55.03,58.39,56.93,55.87,58.3,-,61.15,59.7
PENUKAL ABAB LEMATANG ILIR,48.09,51.22,51.04,49.9,47.06,-,55.62,55.31
MUSI RAWAS UTARA,48.92,49.21,48.51,48.68,46.79,-,53.42,52.47
KOTA PALEMBANG,57.85,62.15,58.28,58.27,57.52,-,63.41,64.28
KOTA PRABUMULIH,58.08,58.39,59.9,59.8,60.2,-,55.75,55.94
KOTA PAGAR ALAM,56.69,57.43,57.68,55.06,57.77,-,58.11,58.51
KOTA LUBUKLINGGAU,66.28,65.59,56.63,59.79,60.81,-,62.43,65.13
BENGKULU,70.13,70.06,69.78,70.48,70.22,71.09,71.4,69.6
BENGKULU SELATAN,55.63,55.87,55.2,55.03,54.62,-,54.75,54.89
REJANG LEBONG,63.57,63.13,64.71,64.82,65.7,-,61.73,61.99
BENGKULU UTARA,62.39,61.88,65.77,62.32,62.52,-,65.76,65.92
KAUR,62.29,62.89,62.13,61.17,61.72,-,61.86,66.25
SELUMA,62.98,59.07,65.68,65.6,61.92,-,65.15,61.95
MUKOMUKO,55.42,56.32,56.78,56.48,56.26,-,61.32,61.4
LEBONG,74.79,74.25,67.14,70.74,70.41,-,79.39,79.68
KEPAHIANG,67.12,66.41,65.09,66.27,66.96,-,73.29,73.63
BENGKULU TENGAH,76.85,74.93,76.71,76.78,77.1,-,70.15,73.8
KOTA BENGKULU,77.54,75.94,77.58,77.68,77.67,-,76.46,76.61
LAMPUNG,68.24,68.16,69.23,69.06,67.96,61.98,63.6,63.82
LAMPUNG BARAT,65.92,68.61,68.21,68.24,69.14,-,60.47,63.84
TANGGAMUS,56.54,55.97,56.97,56.8,56.39,-,69.77,69.9
LAMPUNG SELATAN,59.37,63.28,59.4,59.59,59.27,-,57.66,58.14
LAMPUNG TIMUR,62.34,61.24,63.42,63.13,63.14,-,60.01,60.73
LAMPUNG TENGAH,63.27,63.26,62.22,61.96,61.01,-,55.75,53.52
LAMPUNG UTARA,64.29,64.28,64.87,65.21,64.94,-,60.9,61.41
WAY KANAN,60.36,61.22,61.46,60.72,61.82,-,68.46,65.3
TULANGBAWANG,66.95,66.97,65.94,64.1,64.76,-,62.78,62.52
PESAWARAN,71.98,75.3,72.59,72.21,73.7,-,70.51,67.03
PRINGSEWU,66.13,65.98,67.05,67.32,65.86,-,62.95,63.81
MESUJI,68.5,68.43,69.27,68.89,68.45,-,61.4,61.71
TULANGBAWANG BARAT,56.72,56.53,51.46,51.25,52.1,-,62.74,59.74
PESISIR BARAT,55.37,55.43,56.21,56.02,54.93,-,64.34,63.9
KOTA BANDAR LAMPUNG,72.33,71.98,71.54,71.88,71.69,-,62.11,62.39
KOTA METRO,74.6,74.5,77.02,76.98,74.23,-,78.92,78.75
KEP. BANGKA BELITUNG,58.2,58.22,52.96,53.03,57.49,51.69,54.91,52.57
BANGKA,61.67,61.19,65.18,65.24,62.34,-,62.04,62.2
BELITUNG,53.42,53.47,53.82,53.11,53.02,-,42.62,48.48
BANGKA BARAT,64.62,64.15,64.82,64.48,61.77,-,54.45,49.88
BANGKA TENGAH,54.67,63.29,57.31,57.5,56.81,-,55.76,56.39
BANGKA SELATAN,50.14,49.45,49.29,49.93,48.65,-,48.66,48.46
BELITUNG TIMUR,55.64,54.92,56.74,56.81,55.1,-,67.36,68.21
KOTA PANGKAL PINANG,61.6,65.1,61.88,61.84,61.19,-,56.64,57.17
KEP. RIAU,59.05,58.83,61.59,62.02,58.97,65.6,66.96,66.18
KARIMUN,63.47,57.07,64.17,64.05,63.89,-,56.47,57.03
BINTAN,71.98,71.93,69.71,69.64,73.04,-,61.24,63.41
NATUNA,42.96,50.13,42.02,42.99,42.95,-,48.55,49.17
LINGGA,48.44,48.94,48.96,48.52,48.5,-,47.82,46.08
KEPULAUAN ANAMBAS,67.36,62.29,57.74,62.57,67.66,-,57.07,57.32
KOTA BATAM,58.65,58.26,58.4,59.1,58.38,-,55.28,53.29
KOTA TANJUNG PINANG,76.68,76.97,76.13,76.44,76.64,-,70.33,68.57
DKI JAKARTA,75.3,76.31,75.14,75.16,75.42,72.14,72.34,73.68
KEPULAUAN SERIBU,64.21,65.08,63.03,63.41,64.15,-,61.08,59.98
KODYA JAKARTA SELATAN,75.59,76.6,75.8,75.69,75.95,-,73.17,74.33
KODYA JAKARTA TIMUR,74.43,76.18,74.52,74.2,74.36,-,71.17,72.82
KODYA JAKARTA PUSAT,77.75,79.02,77.42,77.17,77.57,-,74.71,75.72
KODYA JAKARTA BARAT,74.92,75.77,75.2,74.93,74.87,-,71.66,73.32
KODYA JAKARTA UTARA,75.61,75.33,74.79,75.15,75.34,-,72.12,73.36
JAWA BARAT,71.22,71.74,69.48,70.24,70.62,71.15,70.04,70.2
BOGOR,55.07,55.76,55.73,55.76,55.86,-,57.1,56.64
SUKABUMI,61.52,62.28,60.7,55.86,57.45,-,58.33,53.07
CIANJUR,59.74,60.3,60.32,58.59,59.7,-,55.95,60.36
BANDUNG,69.26,70.19,65.86,67.07,68.68,-,76.5,72.4
GARUT,73.74,72.08,68.23,71.91,64.87,-,65.63,64.67
TASIKMALAYA,65.4,61.52,64.3,64.13,63.79,-,63.04,63.15
CIAMIS,65.79,65.41,65.35,66.43,63.65,-,63.67,64.54
KUNINGAN,73.67,73.47,70.58,70.54,73.04,-,72.39,73.05
CIREBON,73.15,74.33,75.61,72.07,72.52,-,74.27,72.39
MAJALENGKA,59.82,57.91,58.9,60.06,60.04,-,59.15,61.67
SUMEDANG,72.23,72.6,70.94,70.78,70.13,-,68.08,70.57
INDRAMAYU,68.62,71.84,70.1,70.45,70.93,-,58.94,61.12
SUBANG,73.14,71.61,68.83,68.75,70.77,-,65.9,68.81
PURWAKARTA,76.8,77.15,74.39,73.94,76.88,-,72.25,72.04
KARAWANG,73.28,70.65,74.8,74.42,74.83,-,68.08,68.52
BEKASI,63.62,65.16,60.83,62.46,65.24,-,57.16,57.02
BANDUNG BARAT,65.32,66.97,64.53,65.4,65.83,-,53.98,62.71
PANGANDARAN,76.09,76.53,74.56,74.57,75.98,-,65.45,69.2
KOTA BOGOR,72.56,71.13,68.91,69.03,72.33,-,67.37,62.04
KOTA SUKABUMI,66.24,69.12,66.82,66.93,66.81,-,60.2,59.55
KOTA BANDUNG,72.36,73.01,70.38,70.49,70.81,-,58.84,63.63
KOTA CIREBON,78.07,77.03,77.86,78.09,77.64,-,74.23,73.97
KOTA BEKASI,68.3,67.74,66.1,65.75,66.57,-,65.68,65.96
KOTA DEPOK,77.94,76.82,74.82,76.31,76.53,-,81.4,81.49
KOTA CIMAHI,74.36,75.62,74.14,75.13,74.07,-,76.97,77.21
KOTA TASIKMALAYA,59.99,59.81,59.32,59.51,59.59,-,63.5,62.92
KOTA BANJAR,55.08,55.58,49.53,50.56,54.32,-,47.96,53.8
JAWA TENGAH,73.78,74.18,72.18,71.73,71.64,74.89,75.1,74.03
CILACAP,70.9,70.38,69.13,70.22,70.67,-,62.52,62.11
BANYUMAS,72.77,73.16,71.92,71.74,70.1,-,67.32,68.11
PURBALINGGA,70.09,71.94,70.6,70.27,70.99,-,73.11,75.51
BANJARNEGARA,73.8,74.3,72.84,73.2,73.79,-,66.44,65.12
KEBUMEN,66.87,67.78,67.15,66.89,66.86,-,70.13,68.09
PURWOREJO,71.13,70.77,70.03,69.83,70.09,-,69.56,71.61
WONOSOBO,49.19,48.92,46.29,48.7,48.68,-,50.55,51.41
MAGELANG,69.66,70.52,67.74,69.65,69.64,-,62.43,71.21
BOYOLALI,82.94,82.98,81.88,81.95,82.23,-,66.28,65.61
KLATEN,69.39,73.04,72.35,69.42,71.88,-,59.6,60.25
SUKOHARJO,79.16,79.28,78.52,77.98,77.69,-,76.11,76.17
WONOGIRI,72.97,72.64,71.88,71.56,71.55,-,64.04,63.8
KARANGANYAR,73.69,71.65,74.76,74.29,73.38,-,74.27,80.51
SRAGEN,69.13,67.91,65.07,65.2,67.14,-,62.28,62.48
GROBOGAN,58.98,58.82,56.31,57.18,58.03,-,56.01,53.7
BLORA,62.64,60.86,65.59,64.37,64.36,-,70.52,70.72
REMBANG,66.96,66.98,65.79,65.78,65.88,-,72.45,73.12
PATI,68.65,67.73,66.99,66.69,66.65,-,67.96,66.55
KUDUS,65.69,66.32,65.24,65.18,65.54,-,62.02,62.07
JEPARA,57.23,58.78,58.2,55.76,56.66,-,48.76,50.62
DEMAK,67.82,68.56,67.2,66.85,66.83,-,68.48,70.79
SEMARANG,75.78,77.86,74.97,75.4,78.35,-,76.15,77.41
TEMANGGUNG,84.8,84.38,84.46,84.21,84.56,-,82.49,82.01
KENDAL,77.05,77.58,77.24,76.96,76.95,-,75.35,76.78
BATANG,64.44,65.63,63.78,63.81,64.43,-,66.58,66.29
PEKALONGAN,71.76,69.78,70.87,71.68,70.54,-,68.38,73.19
PEMALANG,81.57,81.48,80.08,80.95,81.27,-,70.52,68.95
TEGAL,73.76,73.43,72.58,72.12,72.32,-,68.9,69.25
BREBES,61.89,62.14,62.04,61.93,61.89,-,60.72,60.94
KOTA MAGELANG,80.13,79.51,76.81,76.35,78.65,-,76.28,76.3
KOTA SURAKARTA,81.1,81.92,77.88,79.42,79.32,-,77.25,77.1
KOTA SALATIGA,79.29,79.48,76.19,76.07,79.08,-,80.83,82.16
KOTA SEMARANG,73.93,73.86,74.57,74.67,73.64,-,75.22,75.55
KOTA PEKALONGAN,61.37,65.31,60.95,58.29,57.87,-,65.11,68.62
KOTA TEGAL,64.8,65.31,63.66,64.07,63.34,-,77.52,79.57
DI YOGYAKARTA,76.87,78.46,73.59,74.73,76.57,66.96,69.37,69.64
KULON PROGO,72.27,71.68,71.68,71.45,71.41,-,68.42,68.36
BANTUL,65.03,70.35,65.29,64.78,65.27,-,61.99,61.01
GUNUNG KIDUL,77.93,77.3,75.34,75.53,76.7,-,68.7,67.45
SLEMAN,81.65,79.94,80.4,81.25,81.31,-,79.51,78.47
KOTA YOGYAKARTA,75.5,75.7,71.06,71.05,73.18,-,78.94,80.65
JAWA TIMUR,74.42,74.9,73.04,73.03,72.36,69.06,69.37,69.71
PACITAN,68.12,73.24,68.77,68.64,70.45,-,69.01,69.57
PONOROGO,67.69,68.52,67.71,67.48,67.63,-,64.87,68.18
TRENGGALEK,62.15,62.63,66.86,66.11,61.43,-,65.21,66.12
TULUNGAGUNG,69.66,72.92,66.36,65.84,65.06,-,63.95,64.11
BLITAR,81.92,81.32,79.05,80.32,79.68,-,77.15,78.02
KEDIRI,73.2,73.36,72.24,72.17,71.64,-,73.93,74.61
MALANG,76.38,76.45,69.68,69.54,76.69,-,74.37,75.49
LUMAJANG,59.61,59.88,59.16,58.91,59.38,-,60.11,59.23
JEMBER,68.69,66.97,67.65,65.61,66.16,-,68.65,70.45
BANYUWANGI,74.57,75.01,74.52,74.41,74.84,-,69.43,69.71
BONDOWOSO,67.87,64.8,65.1,65.06,65.35,-,57.28,59.55
SITUBONDO,74.77,73.16,69.26,72.8,73.6,-,65.04,67.72
PROBOLINGGO,68.36,69.25,68.22,68.69,68.75,-,64.86,67.06
PASURUAN,67.12,65.28,66.24,65.99,65.75,-,65.59,65.81
SIDOARJO,67.34,67.53,67.13,67.2,67.1,-,64.65,64.46
MOJOKERTO,80.59,81.25,79.74,79.87,80.2,-,75.72,78.33
JOMBANG,72.24,71.32,73.52,73.42,73.76,-,68.4,68.25
NGANJUK,70.87,72.46,68.45,69.9,69.78,-,66.56,65
MADIUN,70.23,71.72,68.47,69.53,68.97,-,60.03,60.05
MAGETAN,71.45,72.08,66.63,66.68,70.5,-,61.34,61.68
NGAWI,74.49,77.0,72.89,72.88,71.33,-,68.93,70.95
BOJONEGORO,56.8,56.82,55.44,55.77,56.14,-,59.3,57.62
TUBAN,65.03,65.05,64.32,64.0,63.51,-,61.25,67.74
LAMONGAN,75.49,73.15,74.37,73.93,74.05,-,68.1,67.95
GRESIK,70.13,70.47,69.43,69.5,71.48,-,63.35,65.33
BANGKALAN,61.86,62.34,57.71,58.54,60.03,-,49.74,50.03
SAMPANG,50.18,59.04,55.99,55.91,55.67,-,48.18,49.67
PAMEKASAN,55.54,55.85,53.13,53.01,52.44,-,55.81,57.29
SUMENEP,60.81,62.77,60.99,58.22,61.79,-,54.9,53.81
KOTA KEDIRI,85.03,86.29,84.46,84.38,84.17,-,82.36,82.36
KOTA BLITAR,68.61,67.63,67.7,68.35,68.6,-,67.51,67.91
KOTA MALANG,78.77,78.54,78.11,78.06,77.63,-,70.76,71.05
KOTA PROBOLINGGO,65.81,68.74,66.02,65.92,65.05,-,66.69,67.76
KOTA PASURUAN,54.8,56.11,55.09,54.58,54.94,-,62.03,62.01
KOTA MOJOKERTO,72.34,76.15,71.51,70.87,70.68,-,82,82.1
KOTA MADIUN,78.03,78.94,77.07,77.18,76.75,-,82.19,82.28
KOTA SURABAYA,83.2,85.29,83.88,82.86,82.82,-,82.89,83.29
KOTA BATU,67.83,68.65,69.13,68.91,68.8,-,73.66,70.92
BANTEN,68.55,69.87,68.83,68.76,69.09,69.14,70,72.75
PANDEGLANG,64.07,65.22,61.58,63.52,63.16,-,60.45,61.27
LEBAK,57.16,60.08,60.36,58.68,58.24,-,64.38,60.85
