Provinsi/Kabupaten/Kota,Unnamed: 1_x,Unnamed: 2_x,Unnamed: 1_y,Unnamed: 2_y,Unnamed: 3_x,Unnamed: 1,Unnamed: 2,Unnamed: 3_y
,Indeks Pembangunan Gender (IPG),,Indeks Pembangunan Gender (IPG),,,Indeks Pembangunan Gender (IPG),,
,Indeks Pembangunan Gender (IPG),,Indeks Pembangunan Gender (IPG),,,2016,2017.0,2018.0
,Indeks Pembangunan Gender (IPG),,2019,2020.0,2021.0,Indeks Pembangunan Gender (IPG),,
,Indeks Pembangunan Gender (IPG),,2019,2020.0,2021.0,2016,2017.0,2018.0
,2022,2023.0,Indeks Pembangunan Gender (IPG),,,Indeks Pembangunan Gender (IPG),,
,2022,2023.0,Indeks Pembangunan Gender (IPG),,,2016,2017.0,2018.0
,2022,2023.0,2019,2020.0,2021.0,Indeks Pembangunan Gender (IPG),,
,2022,2023.0,2019,2020.0,2021.0,2016,2017.0,2018.0
ACEH,92.24,92.55,91.84,92.07,92.23,91.89,91.67,91.67
Simeulue,78.87,79.41,77.94,77.97,78.27,-,76.72,77.52
Aceh Singkil,84.97,85.23,84.48,84.48,84.75,-,83.98,84.02
Aceh Selatan,91.99,92.12,91.49,91.56,91.73,-,91.46,91.54
Aceh Tenggara,93.11,93.28,93.02,93.0,93.1,-,92.77,93.01
Aceh Timur,86.5,86.98,85.72,85.73,85.93,-,86.03,85.64
Aceh Tengah,97.35,97.5,97.48,97.35,97.26,-,97.69,97.75
Aceh Barat,85.98,86.36,85.81,85.76,85.97,-,84.92,85.41
Aceh Besar,95.22,95.29,94.98,94.9,94.93,-,95.09,95.19
Pidie,93.81,93.92,93.49,93.58,93.61,-,94.03,93.5
Bireuen,95.01,95.08,94.92,94.91,94.93,-,95.15,94.64
Aceh Utara,92.85,93.3,92.38,92.55,92.75,-,92.77,92.21
Aceh Barat Daya,89.96,90.27,90.02,89.82,89.87,-,89.49,89.86
Gayo Lues,89.48,89.63,88.7,88.91,89.34,-,87.77,88.39
Aceh Tamiang,82.09,82.38,81.95,81.95,82.0,-,81.28,81.43
Nagan Raya,90.82,91.02,90.31,90.31,90.37,-,89.8,89.92
Aceh Jaya,89.62,89.8,89.28,89.47,89.49,-,88.46,89.26
Bener Meriah,96.79,96.76,96.69,96.6,96.63,-,96.35,96.53
Pidie Jaya,94.99,95.27,95.11,94.92,94.88,-,95.19,95.35
Kota Banda Aceh,95.91,96.19,95.17,95.26,95.54,-,95.4,95.46
Kota Sabang,95.6,95.64,95.47,95.81,95.6,-,95.83,95.97
Kota Langsa,95.56,95.77,95.79,95.61,95.41,-,95.7,95.89
Kota Lhokseumawe,95.06,95.73,95.06,94.9,95.06,-,94.6,94.98
Kota Subulussalam,85.26,85.36,85.05,85.06,85.25,-,83.96,84.53
SUMATERA UTARA,91.06,91.31,90.71,90.67,90.73,90.82,90.65,90.66
Nias,91.28,91.05,91.23,90.81,91.25,-,90.33,90.86
Mandailing Natal,93.42,93.68,93.62,93.24,93.47,-,93.23,93.48
Tapanuli Selatan,90.99,90.63,91.33,90.86,90.74,-,91.07,91.21
Tapanuli Tengah,94.95,95.23,94.78,94.85,94.93,-,94.16,94.27
Tapanuli Utara,98.16,97.75,98.04,97.98,97.93,-,97.51,97.87
Toba Samosir / Toba,98.51,98.32,98.14,97.96,98.06,-,97.4,97.93
Labuhan Batu,90.81,90.74,91.05,90.86,90.88,-,90.79,91.02
Asahan,91.93,91.91,91.22,91.51,91.66,-,91.07,91.21
Simalungun,93.16,93.09,93.03,93.02,93.05,-,92.59,92.8
Dairi,98.15,98.44,97.77,98.02,98.05,-,97.68,97.44
Karo,96.38,96.36,96.31,96.19,95.9,-,96.08,96.27
Deli Serdang,91.61,91.92,91.31,91.29,91.18,-,90.78,91.18
Langkat,89.03,88.77,89.52,89.24,89.02,-,88.77,89.29
Nias Selatan,89.19,89.68,87.59,87.58,88.28,-,87.38,87.51
Humbang Hasundutan,97.65,97.45,97.1,97.38,97.32,-,97.15,96.93
Pakpak Bharat,99.25,98.99,99.05,99.02,98.89,-,98.98,99.0
Samosir,96.76,96.74,96.54,96.51,96.59,-,96.07,96.43
Serdang Bedagai,89.19,88.87,88.79,88.74,89.0,-,88.03,88.61
Batu Bara,83.51,83.76,82.93,83.08,83.22,-,82.65,82.9
Padang Lawas Utara,88.1,88.26,87.63,87.92,88.06,-,86.22,86.79
Padang Lawas,86.24,86.56,85.64,85.75,85.94,-,85.21,85.11
Labuhan Batu Selatan,87.98,88.34,87.43,87.43,87.61,-,87.29,86.97
Labuhan Batu Utara,90.13,90.43,90.03,89.8,89.96,-,89.34,89.82
Nias Utara,80.12,80.51,79.02,79.37,79.63,-,78.86,78.61
Nias Barat,87.02,87.33,86.26,86.67,86.79,-,85.53,85.97
Kota Sibolga,97.9,98.01,97.53,97.63,97.89,-,97.17,97.33
Kota Tanjung Balai,90.28,90.53,89.51,89.69,90.02,-,88.94,89.37
Kota Pematang Siantar,95.96,95.94,95.46,95.65,95.82,-,95.18,95.32
Kota Tebing Tinggi,93.62,93.64,93.55,93.53,93.32,-,93.23,93.33
Kota Medan,93.85,94.13,94.02,94.0,93.76,-,93.34,93.98
Kota Binjai,90.64,90.99,90.6,90.57,90.63,-,90.76,90.57
Kota Padangsidimpuan,97.92,97.53,97.59,97.67,97.87,-,97.16,97.17
Kota Gunungsitoli,89.69,89.92,89.25,89.31,89.4,-,89.46,89.21
SUMATERA BARAT,94.72,94.93,94.09,94.17,94.34,94.42,94.16,94.17
Kepulauan Mentawai,89.91,89.57,89.33,89.59,89.81,-,89.13,89.45
Pesisir Selatan,95.75,95.57,95.16,95.12,95.41,-,94.98,94.62
Solok,96.29,96.17,96.17,96.18,96.19,-,95.73,96.2
Sijunjung,94.16,94.28,93.01,93.03,93.4,-,93.4,93.21
Tanah Datar,97.62,97.73,97.55,97.57,97.58,-,98.51,97.58
Padang Pariaman,93.08,93.32,92.92,92.69,92.78,-,93.79,93.07
Agam,97,97.19,96.84,97.01,96.95,-,97.16,96.92
Lima Puluh Kota,94.85,94.77,94.77,95.03,94.91,-,94.62,94.93
Pasaman,92.51,92.7,92.59,92.45,92.47,-,93.0,92.61
Solok Selatan,95.2,95.27,95.03,95.08,95.14,-,94.54,94.92
Dharmasraya,88.56,89.11,88.3,88.31,88.32,-,88.43,88.26
Pasaman Barat,90.17,90.05,90.06,90.26,90.14,-,88.97,89.59
Kota Padang,93.85,93.94,93.48,93.64,93.81,-,93.77,93.77
Kota Solok,96.67,96.64,97.13,97.05,97.05,-,96.7,97.24
Kota Sawah Lunto,95.17,95.36,95.51,95.48,95.73,-,95.5,95.68
Kota Padang Panjang,98.24,98.19,97.5,97.7,97.78,-,97.76,97.77
Kota Bukittinggi,99.36,99.17,98.77,98.89,98.99,-,98.78,98.8
Kota Payakumbuh,98.61,98.58,98.51,98.46,98.6,-,98.53,98.54
Kota Pariaman,98.64,98.07,98.19,98.49,98.62,-,98.95,98.61
RIAU,88.71,88.98,88.43,88.14,88.38,88.04,88.17,88.37
Kuantan Singingi,90.48,90.47,90.57,90.16,90.06,-,89.71,90.06
Indragiri Hulu,86.73,87.07,87.33,86.94,86.69,-,86.58,86.61
Indragiri Hilir,82.74,83.2,82.57,82.34,82.37,-,81.8,82.37
Pelalawan,88.94,89.37,88.51,88.06,88.73,-,88.5,88.5
Siak,88.79,88.93,88.58,88.62,88.69,-,88.41,88.52
Kampar,89.81,89.87,89.83,89.52,89.79,-,89.22,89.29
Rokan Hulu,82.44,82.72,82.13,81.88,82.12,-,81.84,81.85
Bengkalis,90.11,89.94,90.08,90.07,90.1,-,89.81,89.96
Rokan Hilir,85.13,85.38,85.22,84.91,84.65,-,84.73,84.86
Kepulauan Meranti,86.97,87.35,86.2,86.3,86.45,-,85.3,85.9
Kota Pekanbaru,93.63,93.89,93.12,93.01,93.27,-,92.86,92.97
Kota Dumai,90.74,90.92,90.86,90.66,90.72,-,90.52,90.82
JAMBI,88.95,89.29,88.44,88.41,88.62,88.29,88.13,88.44
Kerinci,87.03,87.15,86.68,86.65,86.81,-,85.97,86.32
Merangin,88.35,88.82,88.01,88.14,88.24,-,87.64,88.01
Sarolangun,91.65,91.38,90.67,90.55,90.81,-,90.44,90.29
Batang Hari,85.44,85.57,85.17,85.01,85.23,-,84.18,84.49
Muaro Jambi,81.55,82.12,80.29,80.08,81.06,-,79.41,80.21
Tanjung Jabung Timur,87.68,87.9,87.76,87.5,87.43,-,86.56,87.3
Tanjung Jabung Barat,86.17,86.51,85.68,85.66,85.79,-,85.44,85.87
Tebo,90.92,91.63,90.23,90.06,90.4,-,90.06,90.22
Bungo,88.61,88.83,88.63,88.54,88.49,-,88.15,88.2
Kota Jambi,94.8,95.01,94.14,94.03,94.42,-,94.45,94.46
Kota Sungai Penuh,94.49,94.54,94.44,94.31,94.41,-,93.98,94.43
SUMATERA SELATAN,92.95,93.25,92.4,92.38,92.35,92.08,92.43,92.62
Ogan Komering Ulu,94.15,94.34,93.92,94.0,93.94,-,93.46,94.01
Ogan Komering Ilir,92.26,92.35,91.22,91.3,91.69,-,91.08,91.35
Muara Enim,89.87,89.82,89.69,89.64,89.67,-,89.32,89.76
Lahat,94.71,94.76,94.82,94.6,94.74,-,94.8,95.08
Musi Rawas,86.15,86.55,85.59,85.45,85.85,-,85.12,85.17
Musi Banyuasin,83.23,83.48,82.85,82.9,82.63,-,81.97,82.68
Banyu Asin,89.32,89.54,89.16,88.93,88.96,-,88.97,89.25
Ogan Komering Ulu Selatan,92.4,92.46,92.78,92.62,92.39,-,92.12,92.8
Ogan Komering Ulu Timur,94.36,94.59,94.07,94.0,93.82,-,93.84,94.14
Ogan Ilir,98.92,98.93,98.95,99.13,99.09,-,98.15,98.45
Empat Lawang,93.47,93.69,93.16,93.38,93.32,-,92.95,93.24
Penukal Abab Lematang Ilir,93.66,93.71,93.2,93.17,93.13,-,92.19,92.79
Musi Rawas Utara,93.02,92.96,93.1,92.82,92.6,-,92.86,93.18
Kota Palembang,96.24,96.52,95.9,95.97,96.07,-,95.56,96.01
Kota Prabumulih,93.99,93.72,93.26,93.7,93.68,-,92.72,93.32
Kota Pagar Alam,94.92,95.01,94.33,94.46,94.64,-,93.82,94.44
Kota Lubuklinggau,96.01,95.47,95.94,95.83,95.84,-,95.74,95.83
BENGKULU,91.36,91.57,91.19,91.0,91.16,91.06,91.34,91.37
Bengkulu Selatan,94.72,94.74,94.05,94.14,94.31,-,93.74,94.08
Rejang Lebong,93.83,94.24,94.15,93.78,93.72,-,94.15,94.59
Bengkulu Utara,91.39,91.47,91.25,91.23,91.39,-,91.0,91.19
Kaur,87.51,87.72,87.13,87.12,87.17,-,86.91,87.2
Seluma,86.16,86.3,85.32,85.65,85.93,-,85.2,85.28
Mukomuko,84.22,84.87,83.95,83.88,84.03,-,83.98,84.18
Lebong,92.19,92.06,91.49,91.6,91.86,-,90.64,90.99
Kepahiang,96.11,96.01,95.32,95.8,95.73,-,94.69,95.2
Bengkulu Tengah,87.29,87.25,86.55,86.83,87.04,-,85.77,86.36
Kota Bengkulu,96.07,96.12,95.97,95.67,95.77,-,96.36,96.55
LAMPUNG,90.58,90.75,90.39,90.33,90.37,90.3,90.49,90.57
Lampung Barat,93.4,93.47,92.55,92.95,93.0,-,92.47,92.74
Tanggamus,91.1,91.27,90.88,91.13,90.98,-,90.71,91.14
Lampung Selatan,89.78,89.96,89.54,89.6,89.61,-,89.52,89.87
Lampung Timur,89.22,89.6,88.78,88.83,88.78,-,87.85,88.67
Lampung Tengah,90.11,90.02,89.88,89.87,89.94,-,89.23,89.57
Lampung Utara,89.74,89.79,89.48,89.46,89.58,-,88.69,89.34
Way Kanan,88.5,88.64,88.22,88.19,88.32,-,87.85,88.25
Tulangbawang,90.18,90.26,89.17,89.31,89.56,-,88.51,88.69
Pesawaran,87.77,88.04,87.3,87.2,87.22,-,87.25,87.57
Pringsewu,92.5,92.68,92.37,92.33,92.29,-,92.26,92.59
Mesuji,84.47,84.63,84.22,84.17,84.37,-,83.82,84.49
Tulang Bawang Barat,89.04,89.01,88.45,88.56,88.96,-,88.08,88.53
Pesisir Barat,93.95,94.25,93.22,93.21,93.51,-,92.84,93.4
Kota Bandar Lampung,94.02,94.14,93.96,93.86,93.93,-,93.53,93.55
Kota Metro,95.9,95.99,95.02,95.55,95.89,-,94.97,94.98
KEP. BANGKA BELITUNG,89.55,89.84,89,88.92,89.11,88.9,88.93,89.15
Bangka,88.84,89.24,88.49,88.48,88.36,-,88.14,88.24
Belitung,88.84,89.21,88.61,88.28,88.29,-,87.99,88.62
Bangka Barat,90.29,90.36,90.07,90.03,90.04,-,89.41,89.92
Bangka Tengah,91.77,91.91,91.05,91.49,91.34,-,90.83,91.04
Bangka Selatan,84.94,84.81,83.86,83.81,84.31,-,83.48,83.54
Belitung Timur,86.95,87.3,86.17,86.37,86.56,-,86.04,86.08
Kota Pangkal Pinang,93.35,93.16,92.89,93.16,93.25,-,92.8,92.94
KEPULAUAN RIAU,93.5,93.96,93.1,93.31,93.49,93.13,92.96,92.97
Karimun,91.12,91.33,90.91,91.25,91.0,-,91.35,91.48
Bintan,93.78,93.93,93.1,93.12,93.53,-,92.58,92.79
Natuna,91.86,92.07,91.72,91.67,91.95,-,91.31,91.62
Lingga,90.48,90.75,89.26,89.25,89.73,-,89.73,89.29
Kepulauan Anambas,91.14,91.25,90.16,90.27,90.3,-,89.97,90.12
Kota Batam,94.75,94.95,94.42,94.43,94.51,-,94.21,94.22
Kota Tanjung Pinang,97.14,96.96,96.77,96.79,97.14,-,96.46,96.47
DKI JAKARTA,94.93,95.24,94.71,94.63,94.84,94.98,94.7,94.7
Kep. Seribu,93.69,93.6,93.58,93.39,93.39,-,93.24,93.57
Kota Jakarta Selatan,96.48,97.16,96.29,96.14,96.28,-,95.71,96.07
Kota Jakarta Timur,95.92,95.98,95.5,95.48,95.44,-,94.59,94.79
Kota Jakarta Pusat,96.41,96.28,95.68,96.0,96.11,-,95.52,95.62
Kota Jakarta Barat,95.39,95.39,95.23,95.16,95.37,-,95.38,95.22
Kota Jakarta Utara,93.84,94.03,93.64,93.53,93.6,-,93.38,93.51
JAWA BARAT,89.8,90.23,89.26,89.2,89.36,89.56,89.18,89.19
Bogor,89.95,90.2,89.39,89.23,89.4,-,88.69,89.05
Sukabumi,87.64,88.3,87.43,87.37,87.44,-,86.9,86.95
Cianjur,84.9,85.17,84.36,84.14,84.3,-,83.56,83.72
Bandung,93.97,94.03,93.96,93.95,93.85,-,93.43,93.59
Garut,82.78,83.37,82.54,82.29,82.13,-,81.96,82.42
Tasikmalaya,86.64,87.01,86.05,86.02,86.36,-,85.63,85.98
Ciamis,87.04,87.25,86.49,86.61,86.55,-,85.6,86.0
Kuningan,87.17,87.31,86.92,86.81,86.97,-,86.34,86.62
Cirebon,84.01,84.28,83.5,83.47,83.49,-,82.51,82.92
Majalengka,86.69,87.06,85.76,85.91,86.24,-,85.43,85.93
Sumedang,95.09,95.41,95.01,95.18,95.18,-,94.6,94.88
Indramayu,88.17,88.81,88.35,88.15,87.92,-,87.91,87.97
Subang,90.95,91.29,90.58,90.53,90.51,-,90.52,90.57
Purwakarta,86.94,87.08,86.78,86.56,86.7,-,87.18,87.19
Karawang,90.5,91.07,90.33,90.12,90.29,-,90.42,90.45
Bekasi,89.37,89.53,88.68,88.58,88.88,-,88.0,88.28
Bandung Barat,79.69,80.37,79.29,79.06,79.07,-,79.11,79.18
Pangandaran,90.2,90.04,90.02,89.78,89.92,-,89.3,89.68
Kota Bogor,90.97,91.11,91.11,91.02,90.87,-,90.9,90.92
Kota Sukabumi,91.83,92.35,91.44,91.36,91.58,-,90.95,91.07
Kota Bandung,94.81,94.71,94.82,94.68,94.72,-,95.03,95.11
Kota Cirebon,94.91,95.55,94.35,94.39,94.46,-,93.94,93.94
Kota Bekasi,93.49,93.52,93.02,92.95,93.09,-,93.09,93.26
Kota Depok,93.47,93.44,92.78,93.01,92.96,-,93.05,93.06
Kota Cimahi,91.97,92.0,92.2,92.01,91.95,-,92.33,92.36
Kota Tasikmalaya,91.87,92.13,91.48,91.64,91.74,-,91.06,91.07
Kota Banjar,87.67,87.85,87.12,87.17,87.01,-,86.93,87.11
JAWA TENGAH,92.83,92.87,91.89,92.18,92.48,92.22,91.94,91.95
Cilacap,87.02,87.34,86.67,86.69,87.0,-,86.14,86.53
Banyumas,89.15,89.14,88.2,88.27,88.54,-,87.62,87.94
Purbalingga,93.21,93.51,92.68,92.78,93.08,-,92.31,92.32
Banjarnegara,95.19,95.09,95.38,95.28,95.32,-,95.02,95.18
Kebumen,93.26,93.37,93.34,93.05,93.06,-,92.68,93.09
Purworejo,95.59,95.34,94.92,94.96,95.33,-,95.26,95.11
Wonosobo,92.65,92.95,92.72,92.75,92.78,-,92.61,92.91
Magelang,92.21,92.49,91.78,91.81,91.89,-,91.95,92.23
Boyolali,94.37,94.7,93.5,94.19,94.22,-,92.96,93.24
Klaten,96.11,95.79,96.04,96.17,96.0,-,96.54,96.0
Sukoharjo,96.96,97.37,96.58,96.49,96.52,-,96.98,96.73
Wonogiri,91.73,92.11,91.41,91.08,91.07,-,90.7,91.13
Karanganyar,97.03,97.29,96.48,96.52,96.63,-,96.5,96.61
Sragen,92.24,92.49,91.4,91.62,91.68,-,91.89,92.27
Grobogan,86.18,86.23,85.98,86.14,85.89,-,85.69,85.81
Blora,84.92,85.68,83.96,83.88,84.59,-,83.55,83.79
Rembang,87.6,87.68,86.85,87.0,87.32,-,86.18,86.49
Pati,92.42,92.49,91.6,91.5,92.21,-,91.98,91.5
Kudus,93.56,93.83,92.9,92.75,92.96,-,92.68,92.89
Jepara,91.44,91.53,90.91,90.99,91.28,-,90.39,90.66
Demak,91.3,91.17,90.57,90.9,91.16,-,90.45,90.4
Semarang,96.6,96.64,96.4,96.38,96.61,-,96.48,96.35
Temanggung,95.99,96.19,95.1,95.31,95.74,-,96.0,95.62
Kendal,93.79,94.29,92.85,93.19,93.3,-,93.25,92.96
Batang,91.88,92.48,91.08,91.47,91.86,-,90.49,90.65
Pekalongan,92.72,92.83,92.58,92.48,92.56,-,92.68,92.87
Pemalang,86.72,87.14,85.81,85.83,86.49,-,85.47,85.49
Tegal,88.22,88.64,86.74,86.79,87.53,-,87.52,86.95
Brebes,87.19,87.13,86.35,86.36,86.65,-,85.86,86.24
Kota Magelang,95.91,96.43,95.51,95.27,95.54,-,96.26,96.07
Kota Surakarta,96.84,97.15,96.72,96.84,96.89,-,96.74,96.82
Kota Salatiga,95.44,95.45,95,95.18,95.37,-,95.34,95.12
Kota Semarang,95.93,95.96,95.55,95.49,95.67,-,95.69,95.82
Kota Pekalongan,95.32,95.65,94.92,95.17,95.42,-,94.43,94.59
Kota Tegal,93.39,93.64,93.37,93.18,93.26,-,92.92,93.45
D I YOGYAKARTA,94.99,94.93,94.77,94.8,94.88,94.27,94.39,94.73
Kulon Progo,95.54,95.27,95.05,95.07,95.09,-,94.93,95.03
Bantul,95.36,95.54,95.18,95.12,95.19,-,94.98,95.11
Gunung Kidul,85.82,85.93,84.62,84.73,85.31,-,84.03,84.59
Sleman,96.36,96.4,96.04,96.2,96.25,-,95.62,96.01
Kota Yogyakarta,98.48,98.47,98.09,98.16,98.32,-,98.26,98.48
JAWA TIMUR,92.08,92.15,90.91,91.07,91.67,90.72,90.76,90.77
Pacitan,85.65,86.16,85.13,84.87,85.09,-,84.41,84.44
Ponorogo,93.96,94.4,93.34,93.56,93.65,-,93.3,93.0
Trenggalek,92.41,92.57,92.74,92.93,92.56,-,91.84,92.52
Tulungagung,95.63,95.45,95.63,95.48,95.52,-,95.3,95.75
Blitar,93.22,93.4,92.73,92.7,92.76,-,92.5,92.33
Kediri,92.85,93.25,92.7,93.07,92.9,-,92.81,92.81
Malang,88.35,88.6,88.66,88.68,88.34,-,88.33,88.38
Lumajang,88.77,89.06,88.04,88.09,88.39,-,87.72,87.88
Jember,85.31,85.52,84.3,84.66,84.82,-,84.32,84.23
Banyuwangi,87.26,87.5,86.81,86.66,86.96,-,86.2,86.44
Bondowoso,91.1,91.17,90.42,90.68,90.75,-,89.48,89.89
Situbondo,87.32,87.59,87.11,87.06,87.16,-,86.78,86.69
Probolinggo,86.02,86.34,84.95,85.38,85.39,-,84.57,84.86
Pasuruan,91.02,91.08,90.68,90.48,90.89,-,90.65,90.41
Sidoarjo,94.68,94.72,93.79,94.13,94.26,-,93.33,93.33
Mojokerto,91.37,91.63,90.65,91.1,91.24,-,90.39,90.15
Jombang,90.51,90.65,90.37,90.15,90.23,-,89.91,89.94
Nganjuk,93.89,94.08,93.27,93.26,93.76,-,93.48,93.26
Madiun,92.14,92.31,91.81,91.79,91.77,-,91.61,91.13
Magetan,93.88,94.07,93.16,93.36,93.65,-,93.2,92.93
Ngawi,92.53,92.89,92.52,92.19,92.32,-,91.7,91.72
Bojonegoro,90.63,90.87,89.98,90.17,90.21,-,89.78,89.77
Tuban,88.39,88.52,87.63,87.78,88.06,-,87.32,87.34
Lamongan,89.5,89.84,88.4,88.59,88.99,-,87.98,88.0
Gresik,90.78,91.01,90.05,89.93,90.2,-,89.57,89.72
