Provinsi/Kabupaten/Kota,Unnamed: 1_x,Unnamed: 2_x,Unnamed: 1_y,Unnamed: 2_y,Unnamed: 3_x,Unnamed: 1,Unnamed: 2,Unnamed: 3_y
Bangkalan,87.35,87.56,86.93,86.88,86.95,-,86.92,86.38
Sampang,86.79,86.97,84.79,85.5,86.32,-,84.15,84.33
Pamekasan,86.83,86.97,86.05,86.17,86.5,-,85.68,85.5
Sumenep,81.88,82.29,80.72,80.81,81.18,-,79.65,80.11
Kota Kediri,94.53,94.58,94.53,94.39,94.21,-,94.64,94.48
Kota Blitar,97.37,97.49,97.8,97.46,97.36,-,97.91,97.6
Kota Malang,95.54,95.67,94.72,94.97,95.24,-,94.96,94.71
Kota Probolinggo,96.24,96.48,95.91,95.87,96.01,-,96.07,95.56
Kota Pasuruan,96.74,96.81,96.18,96.16,96.27,-,96.36,96.02
Kota Mojokerto,93.63,93.89,93.18,93.26,93.47,-,93.4,93.05
Kota Madiun,94.57,95.18,94.05,94.38,94.42,-,93.66,93.47
Kota Surabaya,94.21,94.36,93.6,93.58,93.9,-,93.66,93.57
Kota Batu,90.1,90.54,89.71,89.72,89.89,-,89.27,89.27
BANTEN,92.18,92.48,91.67,91.74,91.83,90.97,91.14,91.3
Pandeglang,86.93,87.09,86.68,86.71,86.83,-,86.13,86.47
Lebak,80.2,80.75,79.63,79.81,79.87,-,78.56,79.26
Tangerang,91.24,91.67,90.97,90.98,91.08,-,91.2,90.9
Serang,92.32,92.49,92.4,92.14,91.98,-,92.28,92.18
Kota Tangerang,94.73,94.89,94.89,95.06,94.72,-,94.07,94.51
Kota Cilegon,87.57,88.05,87.16,87.22,87.25,-,86.35,86.75
Kota Serang,92.63,92.49,91.96,92.28,92.47,-,91.15,91.16
Kota Tangerang Selatan,93.96,94.23,93.56,93.58,93.8,-,92.83,93.16
BALI,94.36,94.59,93.72,93.79,94.01,93.2,93.7,93.71
Jembrana,94.43,94.52,93.52,93.38,93.86,-,92.65,93.21
Tabanan,95.45,95.72,95.35,95.36,95.42,-,95.13,95.34
Badung,95.65,95.94,95.5,95.51,95.53,-,94.52,94.9
Gianyar,94.72,95.09,94.26,94.63,94.7,-,93.61,94.16
Klungkung,91.37,91.79,91.1,91.12,91.18,-,91.03,91.06
Bangli,91.86,92.23,91.25,91.54,91.58,-,90.72,91.23
Karangasem,89.9,90.17,88.87,88.93,88.96,-,89.02,89.22
Buleleng,91.85,91.99,91.94,91.59,91.65,-,91.4,91.92
Kota Denpasar,96.92,96.68,96.92,96.77,96.88,-,96.88,96.89
NUSA TENGGARA BARAT,91.08,91.39,90.4,90.45,90.53,90.05,90.36,90.37
Lombok Barat,90.41,90.65,89.05,88.85,89.22,-,88.93,88.71
Lombok Tengah,88.33,88.72,87.26,87.17,87.19,-,86.4,86.81
Lombok Timur,92.53,92.25,91.16,91.27,91.33,-,91.12,91.14
Sumbawa,94.59,94.79,93.65,93.67,93.48,-,93.4,93.76
Dompu,91.17,91.33,91.12,91.02,90.66,-,90.54,90.72
Bima,92.44,92.2,91.49,91.5,91.87,-,91.08,91.11
Sumbawa Barat,93.82,93.48,92.57,92.77,92.8,-,92.38,92.18
Lombok Utara,86.33,85.88,85.42,85.44,85.54,-,85.34,85.14
Kota Mataram,93.04,93.3,92.77,92.79,92.79,-,92.66,92.54
Kota Bima,96.95,96.9,96.39,96.41,96.41,-,96.15,96.44
NUSA TENGGARA TIMUR,92.96,93.38,92.72,92.73,92.63,92.72,92.44,92.57
Sumba Barat,94.58,94.82,94.47,94.61,94.16,-,94.12,94.13
Sumba Timur,96.36,96.07,96.43,96.16,95.93,-,96.11,96.03
Kupang,88.27,88.59,88.22,88.23,88.06,-,87.73,88.29
Timor Tengah Selatan,95.17,95.56,94.87,94.91,94.95,-,94.79,94.23
Timor Tengah Utara,95.51,95.8,95.52,95.55,95.19,-,95.87,95.44
Belu,97.57,97.44,96.88,97.1,97.07,-,97.07,96.81
Alor,92.36,92.52,92.37,92.14,92.13,-,92.67,92.34
Lembata,91.45,91.61,91.27,91.29,91.24,-,92.04,91.44
Flores Timur,92.08,91.97,91.29,91.32,91.49,-,90.49,91.28
Sikka,88.81,89.38,89.64,89.15,88.93,-,88.64,88.96
Ende,96.2,96.17,95.44,95.64,95.81,-,95.52,95.23
Ngada,95.9,96.33,95.91,96.09,95.76,-,96.06,95.76
Manggarai,88.4,88.92,88.16,88.0,87.65,-,87.38,87.7
Rote Ndao,84.86,85.28,84.64,84.62,84.08,-,83.86,84.59
Manggarai Barat,87.82,88.43,87.17,86.67,87.11,-,87.38,87.43
Sumba Tengah,90.51,90.74,91.28,90.9,90.49,-,90.25,90.78
Sumba Barat Daya,98.28,98.26,97.48,97.62,97.68,-,98.2,97.43
Nagekeo,98.6,97.94,99.04,98.97,98.56,-,98.93,99.15
Manggarai Timur,91.32,91.41,90.89,90.5,90.52,-,90.76,90.8
Sabu Raijua,92.57,92.25,92.76,92.79,92.31,-,92.18,92.54
Malaka,90.08,90.43,89.42,89.49,89.42,-,89.9,89.17
Kota Kupang,96.47,96.39,95.48,95.73,95.99,-,95.23,95.5
KALIMANTAN BARAT,87.61,88.06,86.81,86.87,86.95,85.77,86.28,86.74
Sambas,87.96,88.37,86.97,87.07,87.0,-,87.06,86.96
Bengkayang,82.86,83.68,82.82,82.78,82.79,-,82.81,82.81
Landak,88.83,89.45,87.92,88.14,88.44,-,87.87,87.9
Mempawah,88.53,88.9,87.78,87.92,87.8,-,86.98,87.76
Sanggau,82.14,82.66,80.92,81.04,81.19,-,80.38,80.59
Ketapang,89.12,89.46,88.52,88.42,88.6,-,87.84,88.41
Sintang,87.38,87.74,86.5,86.73,86.73,-,85.97,86.29
Kapuas Hulu,85.99,86.52,84.74,84.91,84.95,-,84.45,84.38
Sekadau,83.4,84.07,82.4,82.65,82.72,-,81.82,82.07
Melawi,80.82,81.22,80.08,80.1,80.15,-,79.79,79.75
Kayong Utara,87.07,86.8,85.73,85.75,86.04,-,85.14,85.19
Kubu Raya,85.26,85.45,84.6,84.3,84.3,-,84.05,84.57
Kota Pontianak,94.1,94.65,93.81,93.73,94.01,-,93.6,93.32
Kota Singkawang,92.83,93.05,92.21,92.0,92.0,-,91.98,91.91
KALIMANTAN TENGAH,89.2,89.49,89.09,89.03,88.79,89.07,88.91,89.13
Kotawaringin Barat,91.89,92.05,91.69,91.67,91.69,-,91.76,91.76
Kotawaringin Timur,88.3,88.34,87.91,88.12,88.14,-,87.73,87.74
Kapuas,95.44,95.51,95.51,95.35,95.32,-,96.59,96.26
Barito Selatan,92.03,92.29,92.04,91.92,91.78,-,93.02,92.35
Barito Utara,87.91,87.72,87.15,87.26,87.49,-,85.16,85.89
Sukamara,91.87,91.96,90.84,91.01,91.49,-,91.24,91.45
Lamandau,92.1,91.68,91.9,91.94,91.91,-,91.97,91.88
Seruyan,89.18,89.31,89.44,89.36,89.16,-,88.64,89.46
Katingan,86.17,86.36,85.57,85.41,85.38,-,85.51,85.7
Pulang Pisau,92.23,92.3,92.12,92.06,92.04,-,91.7,91.72
Gunung Mas,92.18,92.38,92.1,92.09,91.99,-,91.74,91.89
Barito Timur,89.04,89.2,88.76,88.74,88.82,-,88.36,88.41
Murung Raya,83.79,84.25,83.41,83.56,83.55,-,82.92,83.23
Kota Palangka Raya,95.08,95.51,94.96,95.02,95.01,-,94.42,94.66
KALIMANTAN SELATAN,89.44,89.65,88.61,88.86,88.86,88.86,88.6,88.61
Tanah Laut,87.28,87.53,86.96,87.19,86.86,-,87.53,87.14
Kotabaru,84.93,85.05,84.1,84.15,84.77,-,83.5,83.8
Banjar,92.12,92.49,90.65,90.5,91.0,-,91.85,91.39
Barito Kuala,89.93,89.8,89.03,89.04,89.18,-,88.63,88.91
Tapin,84.37,85.13,84.44,84.08,84.15,-,83.87,84.56
Hulu Sungai Selatan,90.05,89.62,89.21,89.23,89.65,-,89.07,89.1
Hulu Sungai Tengah,96.51,96.07,96.6,96.5,96.46,-,96.89,96.52
Hulu Sungai Utara,92.01,91.69,91.59,91.52,91.74,-,92.36,92.09
Tabalong,86.06,86.47,85.43,85.34,85.48,-,85.15,84.99
Tanah Bumbu,85.31,85.74,84.34,84.6,85.09,-,84.42,84.33
Balangan,93.1,93.21,92.12,92.22,92.33,-,92.31,92.32
Kota Banjarmasin,93.76,93.88,93.3,93.37,93.69,-,93.28,93.28
Kota Banjar Baru,92.83,92.99,92.43,92.55,92.56,-,92.17,92.42
KALIMANTAN TIMUR,86.61,87.13,85.98,85.7,85.95,85.6,85.62,85.63
Paser,71.98,72.84,71.41,71.15,71.19,-,69.78,70.64
Kutai Barat,84.62,85.29,83.84,83.87,84.28,-,83.3,83.52
Kutai Kartanegara,79.8,80.64,79.14,78.9,79.12,-,78.54,78.83
Kutai Timur,77.11,77.83,76.51,76.26,76.4,-,75.48,76.03
Berau,87.76,88.2,87.93,87.61,87.76,-,87.77,87.92
Penajam Paser Utara,86.83,86.93,86.22,86.39,86.57,-,86.31,86.34
Mahakam Ulu,82.32,83.07,80.89,80.98,81.65,-,79.82,80.18
Kota Balikpapan,89.96,90.13,89.71,89.65,89.83,-,89.74,89.76
Kota Samarinda,89.75,90.07,89.41,89.27,89.27,-,89.26,89.42
Kota Bontang,87.52,87.89,86.72,86.87,87.12,-,86.44,86.61
KALIMANTAN UTARA,87.85,88.46,87,86.67,87.3,86.34,85.96,86.74
Malinau,82.61,82.86,81.71,81.36,81.95,-,81.02,81.53
Bulungan,85.24,85.73,85.39,85.1,85.12,-,84.74,84.98
Tana Tidung,78.78,78.99,78.02,77.57,78.2,-,77.37,77.82
Nunukan,83.78,83.97,82.74,82.29,83.09,-,82.15,82.41
Kota Tarakan,92.06,92.73,92.16,91.9,92.0,-,91.23,92.28
SULAWESI UTARA,94.89,95.06,94.53,94.42,94.61,95.04,94.78,94.79
Bolaang Mongondow,88.52,88.55,88.36,88.29,88.41,-,87.72,88.03
Minahasa,96.3,96.47,96.76,96.53,96.02,-,96.22,96.48
Kepulauan Sangihe,95.94,95.53,95.35,95.23,95.94,-,96.1,96.1
Kepulauan Talaud,98.09,98.05,97.67,97.9,98.09,-,97.18,97.64
Minahasa Selatan,88.8,89.26,88.81,88.74,88.78,-,88.53,89.31
Minahasa Utara,96.24,96.53,96.42,96.4,96.24,-,96.26,96.8
Bolaang Mongondow Utara,87.35,87.53,86.92,86.77,87.02,-,85.46,86.19
Siau Tagulandang Biaro,88.87,89.04,88.43,88.4,88.87,-,87.64,88.28
Minahasa Tenggara,92.36,92.43,91.87,91.88,92.08,-,91.81,92.21
Bolaang Mongondow Selatan,80.42,80.97,79.87,79.7,80.09,-,78.34,79.39
Bolaang Mongondow Timur,91.1,91.37,90.75,90.84,90.98,-,90.5,90.51
Kota Manado,96.42,96.51,96.28,96.23,96.41,-,95.96,96.07
Kota Bitung,94.57,94.71,94.23,94.19,94.56,-,94.87,95.01
Kota Tomohon,99,99.32,98.98,98.94,98.95,-,98.98,99.2
Kota Kotamobagu,95.47,95.49,95.42,95.37,95.38,-,94.78,95.13
SULAWESI TENGAH,92.24,92.63,92.01,91.87,91.91,91.91,91.66,92.08
Banggai Kepulauan,92.2,92.32,92.18,92.36,92.18,-,91.83,92.01
Banggai,90.86,91.44,90.95,90.83,90.85,-,90.64,91.48
Morowali,85.14,85.17,84.71,84.89,85.03,-,84.83,84.88
Poso,96.79,97.2,96.58,96.54,96.71,-,97.11,96.81
Donggala,88.91,89.17,88.27,88.34,88.43,-,87.66,87.75
Toli-Toli,90.46,90.53,89.82,89.73,90.29,-,89.7,89.62
Buol,89.55,89.86,89.34,89.25,89.1,-,89.12,89.27
Parigi Moutong,92.76,92.58,92.35,92.29,92.51,-,92.46,92.48
Tojo Una-Una,91.17,91.56,91.28,91.22,91.15,-,91.47,91.72
Sigi,94.1,94.26,93.32,93.26,93.48,-,92.98,92.99
Banggai Laut,92.3,92.4,91.04,91.31,91.77,-,91.56,91.6
Morowali Utara,96.53,96.61,95.9,95.98,95.98,-,96.58,96.41
Kota Palu,98.09,98.37,98,97.96,98.16,-,97.69,97.94
SULAWESI SELATAN,93.14,93.19,93.09,92.86,92.85,92.79,92.84,93.15
Kepulauan Selayar,91.73,91.94,91.92,91.63,91.5,-,90.97,91.96
Bulukumba,95.95,95.83,96.59,96.29,95.8,-,96.56,96.45
Bantaeng,95.35,95.31,95.31,95.78,95.76,-,95.28,95.3
Jeneponto,92,92.28,91.64,91.46,91.6,-,90.94,91.3
Takalar,87.66,87.8,87.29,87.56,87.45,-,86.76,87.24
Gowa,87.83,88.37,87.19,87.17,87.37,-,87.69,87.24
Sinjai,98.13,98.21,98.2,98.02,97.81,-,98.01,98.13
Maros,89.46,89.5,89.1,89.23,89.2,-,88.91,88.93
Pangkajene dan Kepulauan,90.61,90.76,90.16,89.85,89.97,-,89.26,89.8
Barru,95.64,95.65,95.42,95.52,95.51,-,95.51,95.44
Bone,93.34,93.27,93.25,92.89,92.71,-,92.65,92.95
Soppeng,97.06,97.16,97.08,97.26,97.25,-,97.43,97.25
Wajo,90.33,90.65,90.13,90.25,90.44,-,89.9,90.04
Sidenreng Rappang,92.57,92.53,92.08,92.06,92.2,-,92.21,91.9
Pinrang,95.36,95.61,95.35,95.16,95.11,-,95.44,95.45
Enrekang,97.91,97.93,97.31,97.41,97.4,-,98.12,97.99
Luwu,92.79,92.79,92,92.16,92.58,-,92.52,92.28
Tana Toraja,88.48,88.54,88.18,87.97,88.46,-,87.18,87.86
Luwu Utara,90,90.2,89.21,89.2,89.44,-,88.87,88.94
Luwu Timur,90.34,90.34,89.61,89.71,89.8,-,89.49,89.38
Toraja Utara,87.32,87.8,86.78,86.83,86.8,-,86.03,86.38
Kota Makasar,94.52,94.65,94.48,94.47,94.44,-,94.7,94.53
Kota Parepare,96.76,97.06,96.78,96.88,96.73,-,97.47,96.87
Kota Palopo,97.58,97.61,97.35,97.32,97.31,-,97.57,97.75
SULAWESI TENGGARA,91.04,91.2,90.56,90.5,90.68,90.23,90.24,90.24
Buton,81.46,82.07,79.82,80.18,80.69,-,78.39,79.01
Muna,87.95,88.13,87.51,87.59,87.76,-,87.34,87.08
Konawe,93.53,93.76,92.61,92.65,93.18,-,93.12,92.91
Kolaka,90.23,90.25,89.87,89.78,90.01,-,89.77,89.59
Konawe Selatan,88.37,88.7,87.45,87.73,88.03,-,87.26,87.3
Bombana,85.77,85.92,84.77,84.67,84.91,-,83.71,84.02
Wakatobi,89.05,89.32,88.6,88.39,88.99,-,88.23,88.39
Kolaka Utara,98.38,98.48,97.32,97.24,97.79,-,97.55,97.84
Buton Utara,92.82,92.58,91.85,92.02,91.99,-,91.94,91.83
Konawe Utara,87.04,87.24,85.69,86.17,86.66,-,85.44,85.58
Kolaka Timur,99.29,99.3,98.63,98.37,99.07,-,98.15,98.16
Konawe Kepulauan,86.1,86.28,84.43,85.0,85.05,-,83.71,83.76
Muna Barat,89.35,89.59,88.82,88.65,88.91,-,88.13,88.05
Buton Tengah,83.01,83.32,80.15,80.57,81.48,-,78.57,79.29
Buton Selatan,73.43,74.22,72.28,72.25,72.56,-,72.21,72.49
Kota Kendari,94.92,94.98,94.75,94.61,94.84,-,94.57,94.66
Kota Baubau,90.94,91.24,90.65,90.27,90.45,-,90.64,90.65
GORONTALO,88.12,88.25,86.83,86.73,87.5,86.12,86.64,86.63
Boalemo,82.72,83.17,81.14,81.15,81.52,-,80.36,80.82
Gorontalo,83.27,83.6,81.33,81.67,82.72,-,80.98,81.18
Pohuwato,92.05,92.27,91.46,91.36,91.4,-,91.31,91.11
Bone Bolango,88.72,88.84,87.71,87.54,88.23,-,86.71,86.96
Gorontalo Utara,81.94,82.37,81.25,81.16,81.17,-,80.44,81.16
Kota Gorontalo,87.28,87.74,86.25,86.23,86.76,-,86.09,86.06
SULAWESI BARAT,89.79,90.25,89.76,89.43,89.57,89.35,89.44,90.05
Majene,94.19,94.68,94.42,94.09,94.17,-,94.67,94.4
Polewali Mandar,91.92,92.14,91.57,91.56,91.63,-,91.22,91.87
Mamasa,98.23,98.42,97.75,97.79,98.23,-,97.92,97.78
Mamuju,90.46,90.57,90.64,90.57,90.62,-,90.37,90.37
Mamuju Utara / Pasangkayu,85.43,85.72,84.42,84.92,85.25,-,83.88,84.35
Mamuju Tengah,86.16,86.4,86.7,86.34,86.1,-,87.26,87.12
MALUKU,93.2,93.51,93.04,92.97,93.19,92.38,92.75,93.03
Maluku Tenggara Barat / Kepulauan Tanimbar,86.91,87.13,86.46,86.44,86.6,-,85.8,86.26
Maluku Tenggara,96.59,96.58,96.76,96.63,96.65,-,96.47,96.39
Maluku Tengah,98.22,97.9,98.41,98.38,98.41,-,98.3,98.31
Buru,91,91.17,90.27,90.22,90.69,-,89.63,89.68
Kepulauan Aru,88.84,89.16,88.25,88.19,88.6,-,88.7,88.41
Seram Bagian Barat,98.77,98.63,98.63,98.44,98.53,-,98.35,98.68
Seram Bagian Timur,88.43,88.88,87.69,87.67,88.39,-,86.58,86.81
Maluku Barat Daya,90.33,90.47,89.81,90.08,90.29,-,89.5,89.56
Buru Selatan,86.79,87.21,86.18,86.39,86.49,-,85.42,86.08
Kota Ambon,97.86,97.86,97.84,97.78,97.83,-,97.88,97.84
Kota Tual,88.46,88.56,87.83,88.11,88.31,-,87.16,87.63
MALUKU UTARA,90.3,90.59,89.61,89.55,89.75,89.15,89.15,89.5
Halmahera Barat,88.89,89.12,88.2,88.3,88.48,-,88.2,87.79
Halmahera Tengah,90.18,90.46,89.61,89.53,89.78,-,89.52,89.34
Kepulauan Sula,92.77,92.85,92.14,91.97,92.36,-,92.13,92.14
Halmahera Selatan,87.38,87.58,86.6,86.49,87.3,-,85.83,86.41
Halmahera Utara,89.73,90.03,89.35,89.44,89.35,-,89.14,88.81
Halmahera Timur,82.09,82.59,81.41,81.43,81.56,-,81.29,81.3
Pulau Morotai,70.85,71.58,69.86,69.75,69.75,-,68.57,69.4
Pulau Taliabu,83.81,84.51,83.58,83.29,83.29,-,81.87,82.82
Kota Ternate,92.28,92.37,92.1,91.83,91.87,-,91.89,91.92
Kota Tidore Kepulauan,96.04,96.34,95.13,95.47,95.84,-,95.33,95.12
PAPUA BARAT,83.61,84.18,82.74,82.91,83.0,82.34,82.42,82.47
Fakfak,83.54,83.88,83.45,82.95,82.89,-,83.23,83.34
Kaimana,83.88,84.3,82.55,83.02,83.12,-,81.85,81.98
Teluk Wondama,79.58,79.72,79.15,79.28,79.18,-,78.85,78.91
Teluk Bintuni,86.37,86.5,85.91,86.17,86.14,-,85.65,85.71
Manokwari,84.41,84.86,83.47,83.69,83.85,-,82.62,83.11
Sorong Selatan,83.02,83.54,81.77,81.99,82.3,-,81.54,81.43
Sorong,86.54,86.83,85.76,85.95,85.97,-,85.33,85.58
Raja Ampat,78.46,79.02,77.55,77.64,77.67,-,76.67,77.0
Tambrauw,69.21,70.18,67.97,68.14,68.28,-,66.5,67.31
Maybrat,78.43,79.02,76.97,77.31,77.56,-,76.1,76.55
Manokwari Selatan,65.62,66.82,64.16,63.88,64.37,-,62.66,63.45
Pegunungan Arfak,77.75,78.94,76.79,76.94,76.97,-,76.07,76.15
Kota Sorong,91.87,92.14,91.97,91.62,91.63,-,90.98,91.38
PAPUA,81.04,81.64,80.05,79.59,80.16,79.09,79.38,80.11
Merauke,89.3,89.64,87.7,87.84,88.04,-,87.45,87.69
Jayawijaya,85.14,85.8,83.22,83.5,84.09,-,82.8,82.93
Jayapura,91.73,91.61,91.1,90.92,91.19,-,90.48,90.59
Nabire,91.09,91.19,90.07,90.37,90.51,-,89.97,90.27
Kepulauan Yapen,90.25,89.9,89.11,89.0,89.15,-,88.07,88.68
Biak Numfor,90.79,90.96,90.01,90.15,90.25,-,89.8,90.1
Paniai,68.79,69.27,68.21,67.88,68.25,-,67.15,67.6
Puncak Jaya,66.86,67.86,65.25,65.2,65.69,-,64.43,65.2
Mimika,77.43,77.79,76.93,77.03,76.88,-,77.09,77.1
Boven Digoel,79.9,80.46,79.25,79.18,79.06,-,78.83,79.17
Mappi,84.88,85.16,83.63,83.48,83.78,-,83.77,83.65
Asmat,55.34,55.99,53.71,53.59,53.72,-,50.61,52.23
Yahukimo,74.58,75.56,72.07,72.28,73.02,-,70.53,71.83
Pegunungan Bintang,81.98,81.94,79.62,80.01,80.49,-,79.83,80.49
Tolikara,61.8,62.43,59.83,59.58,60.18,-,57.77,59.17
Sarmi,83.37,83.72,82.15,82.35,82.56,-,82.12,82.31
Keerom,87.46,87.92,86.21,86.23,86.32,-,85.3,85.78
Waropen,70.97,71.52,70.52,70.13,70.35,-,70.13,70.57
Supiori,77.88,78.27,76.4,76.38,76.78,-,76.16,76.31
Mamberamo Raya,82.81,83.31,81.85,81.56,82.11,-,80.64,81.47
Nduga,89.43,89.97,82.73,84.09,86.01,-,84.45,84.47
Lanny Jaya,94.01,94.14,92.14,92.4,92.89,-,91.58,91.59
Mamberamo Tengah,89.46,89.17,86,86.79,87.8,-,87.35,86.8
Yalimo,85.45,85.96,82.87,82.6,83.65,-,82.29,83.47
Puncak,84.85,85.56,82.57,82.17,83.27,-,82.4,82.61
Dogiyai,81.11,81.53,81.45,80.82,80.48,-,81.17,81.05
Intan Jaya,72.81,73.26,70.64,70.4,71.62,-,68.42,69.32
Deiyai,70.68,70.95,70.88,70.17,70.15,-,69.69,71.05
Kota Jayapura,94.79,94.74,94.22,94.35,94.65,-,94.12,94.33
INDONESIA,91.63,91.85,91.07,91.06,91.27,90.82,90.96,90.99
